power.draw [W], utilization.gpu [%], utilization.memory [%], temperature.gpu, pstate
39.90, 99, 48, 69, P0
50.62, 98, 43, 69, P0
83.56, 99, 43, 70, P0
61.95, 99, 40, 69, P0
85.42, 98, 42, 70, P0
64.75, 95, 46, 69, P0
87.34, 98, 33, 69, P0
49.00, 93, 32, 70, P0
66.14, 84, 36, 70, P0
67.44, 97, 40, 69, P0
69.80, 95, 42, 69, P0
57.20, 99, 40, 69, P0
66.81, 92, 39, 69, P0
72.79, 98, 42, 70, P0
50.36, 98, 39, 69, P0
65.91, 96, 33, 69, P0
69.61, 87, 36, 69, P0
55.50, 98, 42, 70, P0
70.38, 94, 42, 69, P0
60.56, 99, 37, 70, P0
86.65, 92, 42, 69, P0
54.83, 98, 43, 70, P0
62.47, 98, 38, 70, P0
70.62, 98, 42, 70, P0
81.74, 98, 39, 70, P0
77.92, 97, 40, 70, P0
73.75, 97, 42, 69, P0
74.99, 98, 41, 70, P0
84.90, 96, 34, 69, P0
74.36, 86, 36, 69, P0
74.08, 99, 45, 69, P0
71.78, 93, 46, 70, P0
64.70, 99, 33, 69, P0
53.28, 91, 36, 69, P0
56.62, 97, 41, 69, P0
59.25, 98, 43, 69, P0
52.99, 97, 40, 70, P0
69.80, 99, 38, 69, P0
75.28, 99, 45, 70, P0
72.16, 94, 49, 69, P0
58.03, 99, 33, 69, P0
50.52, 93, 34, 69, P0
72.98, 87, 40, 69, P0
70.86, 97, 34, 70, P0
69.95, 97, 40, 69, P0
54.15, 99, 42, 69, P0
69.37, 97, 46, 69, P0
60.98, 97, 38, 69, P0
81.89, 99, 47, 69, P0
76.29, 97, 40, 69, P0
77.10, 99, 37, 69, P0
84.94, 99, 44, 70, P0
66.39, 94, 48, 70, P0
78.58, 99, 30, 70, P0
58.94, 94, 34, 69, P0
99.11, 87, 41, 69, P0
77.72, 99, 43, 70, P0
80.79, 99, 43, 70, P0
68.60, 99, 41, 69, P0
83.23, 99, 43, 69, P0
78.59, 96, 46, 69, P0
80.21, 98, 34, 70, P0
64.41, 95, 33, 70, P0
77.58, 87, 38, 70, P0
64.30, 97, 42, 69, P0
67.69, 94, 43, 70, P0
54.44, 99, 39, 69, P0
68.27, 92, 42, 70, P0
57.20, 98, 43, 69, P0
58.46, 98, 37, 70, P0
94.90, 98, 44, 69, P0
77.20, 98, 41, 69, P0
83.85, 97, 42, 69, P0
60.96, 97, 40, 69, P0
56.56, 98, 41, 69, P0
88.39, 97, 37, 70, P0
67.35, 94, 44, 70, P0
62.33, 98, 35, 69, P0
62.91, 98, 42, 69, P0
57.94, 99, 40, 69, P0
56.82, 97, 41, 69, P0
77.44, 97, 40, 69, P0
63.49, 98, 43, 69, P0
47.65, 97, 40, 70, P0
