power.draw [W], utilization.gpu [%], utilization.memory [%], temperature.gpu, pstate
39.80, 98, 46, 68, P0
53.48, 99, 46, 69, P0
79.59, 96, 39, 69, P0
65.86, 100, 41, 69, P0
80.88, 99, 43, 69, P0
76.67, 94, 47, 69, P0
57.69, 99, 29, 69, P0
53.31, 94, 35, 69, P0
77.34, 88, 41, 69, P0
74.32, 97, 37, 69, P0
69.38, 96, 40, 69, P0
52.26, 99, 43, 69, P0
75.38, 92, 41, 69, P0
55.21, 98, 41, 69, P0
50.33, 100, 41, 69, P0
65.08, 98, 43, 70, P0
64.50, 99, 38, 69, P0
79.64, 97, 40, 69, P0
69.90, 94, 42, 69, P0
80.40, 99, 36, 69, P0
46.23, 92, 41, 70, P0
66.58, 98, 42, 69, P0
65.56, 98, 37, 69, P0
68.84, 98, 43, 69, P0
79.07, 99, 41, 69, P0
66.88, 97, 42, 69, P0
61.08, 97, 40, 69, P0
78.68, 98, 41, 69, P0
73.55, 97, 37, 69, P0
77.39, 92, 36, 69, P0
67.02, 99, 48, 70, P0
63.06, 93, 47, 69, P0
89.00, 99, 34, 70, P0
60.15, 92, 34, 69, P0
101.80, 89, 41, 70, P0
53.57, 97, 34, 70, P0
77.48, 98, 40, 69, P0
72.06, 99, 41, 70, P0
87.05, 96, 45, 70, P0
54.54, 94, 49, 69, P0
57.01, 99, 31, 70, P0
80.79, 93, 34, 69, P0
68.36, 87, 38, 70, P0
55.08, 97, 32, 69, P0
74.46, 97, 40, 69, P0
67.35, 99, 43, 69, P0
64.99, 96, 45, 69, P0
72.26, 98, 39, 69, P0
52.06, 99, 46, 69, P0
67.43, 98, 42, 70, P0
65.27, 99, 39, 69, P0
50.52, 99, 44, 70, P0
72.06, 95, 47, 69, P0
68.94, 98, 33, 69, P0
85.50, 94, 34, 70, P0
64.79, 88, 37, 70, P0
76.33, 97, 37, 69, P0
81.22, 96, 39, 70, P0
79.97, 99, 43, 69, P0
60.25, 93, 40, 69, P0
73.26, 98, 41, 70, P0
76.29, 98, 32, 69, P0
75.95, 94, 32, 69, P0
75.23, 88, 37, 69, P0
85.94, 97, 37, 70, P0
65.19, 96, 40, 69, P0
67.11, 99, 41, 69, P0
79.78, 93, 41, 70, P0
51.87, 98, 41, 69, P0
50.07, 100, 42, 69, P0
86.99, 98, 42, 69, P0
76.77, 99, 38, 69, P0
83.56, 98, 42, 70, P0
63.00, 96, 45, 70, P0
52.16, 98, 37, 69, P0
46.62, 96, 34, 70, P0
59.87, 88, 36, 69, P0
69.04, 99, 43, 69, P0
68.94, 94, 44, 70, P0
54.92, 99, 35, 69, P0
61.60, 97, 41, 70, P0
78.49, 97, 41, 69, P0
53.67, 99, 41, 69, P0
69.56, 96, 33, 70, P0
75.86, 86, 36, 70, P0
77.68, 99, 46, 70, P0
57.94, 94, 45, 70, P0
81.65, 100, 33, 70, P0
82.14, 92, 36, 69, P0
78.15, 96, 44, 69, P0
74.22, 98, 35, 70, P0
76.77, 99, 41, 70, P0
82.61, 99, 40, 70, P0
77.15, 97, 41, 69, P0
74.22, 97, 41, 69, P0
71.05, 99, 41, 70, P0
86.13, 97, 37, 69, P0
69.19, 90, 36, 69, P0
73.50, 99, 48, 69, P0
78.73, 93, 46, 70, P0
74.56, 99, 39, 69, P0
73.45, 96, 43, 69, P0
55.18, 97, 40, 69, P0
55.21, 99, 42, 69, P0
89.14, 97, 39, 70, P0
76.96, 94, 37, 70, P0
90.86, 99, 46, 69, P0
69.90, 93, 47, 70, P0
89.52, 99, 34, 70, P0
58.42, 92, 35, 70, P0
81.93, 88, 41, 69, P0
77.44, 97, 34, 70, P0
68.17, 98, 40, 70, P0
51.10, 99, 40, 69, P0
55.18, 96, 44, 69, P0
57.40, 97, 38, 69, P0
63.29, 99, 43, 70, P0
78.01, 97, 39, 70, P0
70.91, 100, 41, 70, P0
54.54, 99, 44, 70, P0
73.50, 94, 49, 70, P0
51.29, 99, 42, 70, P0
49.26, 96, 45, 70, P0
43.40, 97, 38, 69, P0
83.41, 99, 47, 70, P0
44.13, 97, 39, 70, P0
69.86, 100, 38, 69, P0
71.68, 99, 44, 70, P0
63.69, 94, 48, 70, P0
64.22, 99, 28, 70, P0
68.84, 94, 34, 70, P0
78.20, 88, 41, 70, P0
75.95, 97, 34, 70, P0
68.07, 97, 40, 70, P0
52.32, 99, 43, 69, P0
67.98, 94, 43, 69, P0
60.98, 98, 39, 70, P0
83.08, 99, 46, 69, P0
70.76, 98, 41, 69, P0
76.48, 99, 37, 70, P0
77.10, 98, 43, 70, P0
58.90, 95, 47, 70, P0
83.59, 99, 42, 70, P0
64.50, 92, 41, 69, P0
81.65, 96, 40, 70, P0
58.03, 100, 43, 70, P0
89.33, 99, 44, 70, P0
74.13, 99, 40, 70, P0
82.47, 99, 44, 70, P0
63.39, 95, 47, 70, P0
64.99, 98, 33, 70, P0
89.14, 95, 32, 70, P0
64.02, 87, 38, 70, P0
48.81, 97, 41, 69, P0
64.99, 94, 46, 70, P0
54.70, 99, 37, 70, P0
50.90, 92, 41, 69, P0
83.37, 98, 43, 69, P0
50.04, 98, 35, 70, P0
68.65, 98, 43, 70, P0
58.61, 99, 41, 70, P0
47.29, 97, 42, 70, P0
77.20, 93, 44, 70, P0
71.58, 99, 36, 70, P0
79.45, 92, 41, 70, P0
55.28, 98, 42, 70, P0
64.31, 98, 35, 70, P0
70.43, 99, 43, 70, P0
83.08, 99, 40, 69, P0
78.92, 97, 42, 70, P0
67.54, 97, 41, 70, P0
74.70, 99, 41, 70, P0
74.51, 97, 36, 70, P0
76.77, 90, 36, 70, P0
94.08, 99, 48, 70, P0
63.93, 94, 45, 70, P0
68.75, 100, 33, 70, P0
77.73, 92, 36, 70, P0
56.82, 95, 43, 69, P0
53.03, 98, 35, 70, P0
86.67, 98, 42, 69, P0
75.81, 99, 38, 70, P0
83.22, 97, 43, 70, P0
58.36, 94, 46, 70, P0
64.22, 99, 35, 69, P0
81.65, 92, 35, 70, P0
57.30, 88, 41, 70, P0
77.29, 98, 34, 70, P0
65.33, 98, 40, 70, P0
68.36, 99, 41, 70, P0
64.75, 96, 44, 70, P0
75.18, 97, 38, 70, P0
68.27, 99, 44, 69, P0
54.15, 97, 39, 69, P0
69.32, 100, 39, 70, P0
77.48, 99, 43, 70, P0
73.22, 94, 49, 70, P0
53.77, 99, 34, 70, P0
46.33, 92, 34, 69, P0
54.35, 87, 41, 70, P0
56.91, 98, 34, 70, P0
78.06, 98, 40, 70, P0
66.10, 99, 40, 70, P0
87.58, 96, 44, 70, P0
65.91, 94, 48, 70, P0
52.32, 99, 34, 70, P0
49.10, 92, 35, 70, P0
70.76, 87, 40, 70, P0
66.29, 97, 33, 70, P0
68.89, 97, 40, 70, P0
51.97, 99, 41, 70, P0
58.78, 96, 46, 70, P0
76.62, 98, 38, 70, P0
48.78, 99, 47, 70, P0
61.20, 97, 39, 70, P0
72.88, 100, 39, 70, P0
72.83, 99, 43, 70, P0
70.56, 93, 48, 70, P0
77.72, 99, 30, 70, P0
70.48, 94, 32, 69, P0
81.12, 88, 41, 70, P0
84.18, 97, 36, 70, P0
89.29, 99, 41, 70, P0
71.24, 99, 39, 70, P0
75.66, 99, 44, 70, P0
67.07, 95, 47, 70, P0
59.87, 99, 33, 70, P0
66.29, 94, 34, 70, P0
77.68, 88, 38, 70, P0
72.16, 97, 37, 69, P0
76.86, 96, 38, 70, P0
75.28, 99, 42, 70, P0
72.64, 93, 41, 69, P0
56.08, 98, 40, 69, P0
53.12, 100, 43, 69, P0
73.31, 99, 43, 70, P0
66.19, 99, 40, 70, P0
87.24, 99, 43, 70, P0
69.47, 95, 48, 70, P0
92.36, 99, 32, 70, P0
62.14, 94, 34, 69, P0
96.91, 87, 39, 70, P0
75.47, 96, 36, 70, P0
83.89, 98, 39, 70, P0
76.91, 99, 38, 70, P0
61.52, 99, 44, 70, P0
67.00, 93, 47, 70, P0
73.31, 98, 32, 70, P0
73.50, 94, 34, 70, P0
71.00, 87, 41, 70, P0
75.47, 97, 35, 70, P0
74.03, 97, 40, 70, P0
56.14, 99, 42, 70, P0
72.35, 94, 42, 70, P0
57.11, 98, 39, 70, P0
72.06, 100, 44, 69, P0
74.90, 98, 41, 70, P0
76.62, 99, 38, 70, P0
90.34, 99, 44, 70, P0
63.37, 94, 47, 70, P0
81.08, 99, 30, 70, P0
67.78, 94, 34, 69, P0
91.94, 87, 41, 70, P0
81.32, 100, 45, 70, P0
87.82, 98, 41, 70, P0
69.23, 99, 39, 70, P0
73.17, 98, 42, 69, P0
68.89, 94, 47, 70, P0
65.23, 99, 32, 70, P0
72.64, 94, 34, 70, P0
75.47, 88, 38, 70, P0
71.58, 97, 37, 69, P0
81.50, 96, 38, 70, P0
74.94, 99, 43, 69, P0
57.55, 93, 41, 69, P0
54.66, 98, 41, 70, P0
67.06, 100, 43, 69, P0
43.26, 98, 43, 70, P0
65.04, 99, 40, 70, P0
73.46, 98, 43, 70, P0
77.34, 96, 45, 70, P0
58.17, 98, 35, 70, P0
55.50, 96, 34, 70, P0
78.25, 88, 38, 70, P0
75.86, 100, 38, 70, P0
71.25, 98, 42, 70, P0
85.14, 99, 38, 69, P0
72.45, 97, 40, 70, P0
58.58, 97, 45, 70, P0
80.17, 99, 41, 70, P0
75.42, 96, 34, 70, P0
80.74, 88, 37, 70, P0
69.90, 99, 42, 70, P0
64.14, 94, 43, 70, P0
73.60, 99, 37, 70, P0
72.64, 93, 42, 70, P0
53.57, 98, 42, 70, P0
53.38, 98, 35, 70, P0
87.76, 98, 43, 70, P0
74.99, 99, 41, 70, P0
72.88, 97, 42, 70, P0
69.04, 97, 41, 70, P0
64.70, 99, 41, 70, P0
83.56, 97, 36, 70, P0
73.89, 89, 37, 70, P0
70.48, 98, 36, 70, P0
71.49, 98, 42, 70, P0
49.10, 99, 40, 70, P0
52.19, 97, 41, 70, P0
56.30, 97, 40, 70, P0
50.01, 98, 41, 70, P0
55.56, 97, 40, 70, P0
67.98, 92, 37, 70, P0
76.67, 99, 46, 70, P0
71.58, 94, 46, 70, P0
76.33, 99, 35, 70, P0
47.39, 92, 34, 69, P0
50.62, 92, 42, 70, P0
68.70, 98, 35, 70, P0
71.97, 98, 41, 70, P0
60.89, 99, 39, 70, P0
82.66, 97, 43, 70, P0
71.24, 97, 40, 70, P0
58.42, 99, 43, 70, P0
76.19, 97, 40, 70, P0
68.32, 94, 37, 70, P0
54.44, 98, 35, 69, P0
62.00, 98, 42, 70, P0
67.02, 99, 39, 70, P0
68.31, 97, 43, 70, P0
77.20, 97, 40, 69, P0
68.07, 99, 42, 69, P0
54.83, 97, 40, 70, P0
65.00, 91, 36, 70, P0
80.60, 99, 47, 70, P0
64.83, 94, 46, 70, P0
83.33, 99, 33, 70, P0
47.36, 91, 35, 69, P0
52.87, 95, 43, 70, P0
56.49, 98, 35, 70, P0
70.28, 98, 41, 70, P0
54.31, 99, 40, 70, P0
55.85, 96, 44, 70, P0
79.59, 97, 39, 70, P0
81.03, 99, 43, 70, P0
66.87, 97, 40, 70, P0
76.86, 88, 39, 70, P0
77.53, 97, 33, 69, P0
70.09, 97, 39, 70, P0
50.23, 99, 40, 70, P0
66.55, 96, 45, 69, P0
68.02, 98, 38, 69, P0
58.84, 99, 47, 69, P0
93.82, 98, 42, 70, P0
77.05, 99, 37, 70, P0
81.55, 98, 44, 70, P0
64.99, 95, 47, 70, P0
86.00, 99, 33, 70, P0
49.26, 95, 33, 70, P0
58.19, 88, 38, 70, P0
72.30, 97, 36, 70, P0
73.07, 96, 41, 70, P0
65.23, 99, 43, 69, P0
66.19, 93, 41, 69, P0
77.20, 98, 41, 70, P0
59.42, 100, 43, 70, P0
45.85, 95, 31, 69, P0
72.16, 88, 38, 70, P0
47.00, 97, 38, 70, P0
72.11, 96, 42, 70, P0
63.60, 100, 40, 70, P0
61.75, 92, 41, 70, P0
46.30, 98, 41, 70, P0
81.55, 100, 43, 70, P0
64.27, 98, 44, 70, P0
49.17, 99, 39, 70, P0
74.46, 99, 43, 70, P0
73.46, 95, 46, 70, P0
69.22, 98, 33, 69, P0
49.10, 95, 32, 70, P0
57.65, 88, 37, 70, P0
72.64, 97, 39, 70, P0
61.56, 95, 42, 70, P0
53.57, 99, 41, 69, P0
55.41, 91, 40, 70, P0
73.12, 98, 41, 70, P0
54.92, 100, 43, 69, P0
65.95, 96, 30, 69, P0
65.91, 88, 37, 70, P0
43.65, 97, 38, 70, P0
71.49, 95, 42, 70, P0
77.92, 99, 41, 70, P0
55.43, 93, 40, 69, P0
44.78, 98, 41, 70, P0
81.55, 100, 43, 70, P0
52.35, 99, 43, 70, P0
59.73, 99, 39, 70, P0
57.65, 97, 42, 70, P0
75.09, 96, 46, 70, P0
56.21, 98, 33, 70, P0
49.65, 95, 30, 70, P0
59.67, 88, 37, 70, P0
71.39, 97, 39, 70, P0
