CMDLINE /scrap/users/blazquez/.conda/envs/pyeddl_cpu/bin/python3.8 6_drive_memoryusage.py
MEM 9487.195312 1619776255.0375
MEM 9487.195312 1619776255.1377
MEM 9487.277344 1619776255.2380
MEM 9487.277344 1619776255.3384
MEM 9487.277344 1619776255.4387
MEM 9487.277344 1619776255.5390
MEM 9487.277344 1619776255.6394
MEM 9504.867188 1619776255.7397
MEM 9539.929688 1619776255.8400
MEM 9539.929688 1619776255.9403
MEM 9539.929688 1619776256.0406
MEM 9539.968750 1619776256.1408
MEM 9539.968750 1619776256.2411
MEM 9539.968750 1619776256.3413
MEM 9539.968750 1619776256.4415
MEM 9539.968750 1619776256.5417
MEM 9539.968750 1619776256.6419
MEM 9539.968750 1619776256.7421
MEM 9539.968750 1619776256.8423
MEM 9539.968750 1619776256.9425
MEM 9539.968750 1619776257.0427
MEM 9559.371094 1619776257.1430
MEM 9594.593750 1619776257.2433
MEM 9594.593750 1619776257.3435
MEM 9594.593750 1619776257.4437
MEM 9610.578125 1619776257.5439
MEM 9610.578125 1619776257.6441
MEM 9611.843750 1619776257.7444
MEM 9626.539062 1619776257.8446
MEM 9642.648438 1619776257.9448
MEM 9642.648438 1619776258.0478
MEM 9642.660156 1619776258.1481
MEM 9642.660156 1619776258.2483
MEM 9642.660156 1619776258.3485
MEM 9642.660156 1619776258.4487
MEM 9642.660156 1619776258.5489
MEM 9642.660156 1619776258.6491
MEM 9642.660156 1619776258.7493
MEM 9642.660156 1619776258.8495
MEM 9642.660156 1619776258.9497
MEM 9672.222656 1619776259.0506
MEM 9731.402344 1619776259.1509
MEM 9731.402344 1619776259.2511
MEM 9731.402344 1619776259.3513
MEM 9731.402344 1619776259.4515
MEM 9767.238281 1619776259.5517
MEM 9767.238281 1619776259.6519
MEM 9767.238281 1619776259.7522
MEM 9767.238281 1619776259.8526
MEM 9803.332031 1619776259.9529
MEM 9803.332031 1619776260.0532
MEM 9803.332031 1619776260.1534
MEM 9803.332031 1619776260.2537
MEM 9839.425781 1619776260.3541
MEM 9839.425781 1619776260.4544
MEM 9839.425781 1619776260.5547
MEM 9839.468750 1619776260.6549
MEM 9839.468750 1619776260.7551
MEM 9839.468750 1619776260.8553
MEM 9839.468750 1619776260.9556
MEM 9839.468750 1619776261.0558
MEM 9839.468750 1619776261.1560
MEM 9839.468750 1619776261.2562
MEM 9839.468750 1619776261.3564
MEM 9839.468750 1619776261.4566
MEM 9839.468750 1619776261.5568
MEM 9839.468750 1619776261.6570
MEM 9839.468750 1619776261.7573
MEM 9839.468750 1619776261.8575
MEM 9839.468750 1619776261.9577
MEM 9839.468750 1619776262.0579
MEM 9839.468750 1619776262.1581
MEM 9839.468750 1619776262.2583
MEM 9839.468750 1619776262.3585
MEM 9839.468750 1619776262.4587
MEM 9864.128906 1619776262.5617
MEM 9888.289062 1619776262.6621
MEM 9888.289062 1619776262.7623
MEM 9906.335938 1619776262.8626
MEM 9906.335938 1619776262.9629
MEM 9924.378906 1619776263.0633
MEM 9933.402344 1619776263.1636
MEM 9942.421875 1619776263.2639
MEM 9942.421875 1619776263.3641
MEM 9942.425781 1619776263.4643
MEM 9942.425781 1619776263.5645
MEM 9942.425781 1619776263.6647
MEM 9942.425781 1619776263.7649
MEM 9942.425781 1619776263.8651
MEM 9942.425781 1619776263.9654
MEM 9942.425781 1619776264.0656
MEM 9942.425781 1619776264.1658
MEM 9942.425781 1619776264.2660
MEM 9942.425781 1619776264.3662
MEM 9972.171875 1619776264.4666
MEM 10011.121094 1619776264.5669
MEM 10019.113281 1619776264.6673
MEM 10027.105469 1619776264.7675
MEM 10035.097656 1619776264.8677
MEM 10043.089844 1619776264.9680
MEM 10048.503906 1619776265.0682
MEM 10051.082031 1619776265.1685
MEM 10059.074219 1619776265.2687
MEM 10067.066406 1619776265.3690
MEM 10075.058594 1619776265.4694
MEM 10083.050781 1619776265.5698
MEM 10091.042969 1619776265.6702
MEM 10091.042969 1619776265.7706
MEM 10099.035156 1619776265.8710
MEM 10107.027344 1619776265.9714
MEM 10115.019531 1619776266.0718
MEM 10123.011719 1619776266.1722
MEM 10131.003906 1619776266.2724
MEM 10131.003906 1619776266.3727
MEM 10163.667969 1619776266.4729
MEM 10163.667969 1619776266.5732
MEM 10163.667969 1619776266.6734
MEM 10163.667969 1619776266.7736
MEM 10163.667969 1619776266.8738
MEM 10163.667969 1619776266.9741
MEM 10163.667969 1619776267.0743
MEM 10163.667969 1619776267.1745
MEM 10136.054688 1619776267.2747
MEM 10191.128906 1619776267.3755
MEM 10246.609375 1619776267.4758
MEM 10246.609375 1619776267.5760
MEM 10264.656250 1619776267.6763
MEM 10264.656250 1619776267.7765
MEM 10282.703125 1619776267.8767
MEM 10282.703125 1619776267.9769
MEM 10300.492188 1619776268.0771
MEM 10300.492188 1619776268.1774
MEM 10318.539062 1619776268.2778
MEM 10318.539062 1619776268.3781
MEM 10336.585938 1619776268.4783
MEM 10336.585938 1619776268.5786
MEM 10354.632812 1619776268.6790
MEM 10354.632812 1619776268.7793
MEM 10372.679688 1619776268.8795
MEM 10372.679688 1619776268.9797
MEM 10390.468750 1619776269.0800
MEM 10390.468750 1619776269.1802
MEM 10408.515625 1619776269.2804
MEM 10408.515625 1619776269.3806
MEM 10426.562500 1619776269.4808
MEM 10426.562500 1619776269.5810
MEM 10444.609375 1619776269.6812
MEM 10444.609375 1619776269.7815
MEM 10462.656250 1619776269.8817
MEM 10462.656250 1619776269.9819
MEM 10480.703125 1619776270.0821
MEM 10480.703125 1619776270.1823
MEM 10498.492188 1619776270.2825
MEM 10498.492188 1619776270.3827
MEM 10516.539062 1619776270.4829
MEM 10516.539062 1619776270.5831
MEM 10536.613281 1619776270.6833
MEM 10558.218750 1619776270.7835
MEM 10558.218750 1619776270.8838
MEM 10558.218750 1619776270.9843
MEM 10558.218750 1619776271.0846
MEM 10558.218750 1619776271.1850
MEM 10558.218750 1619776271.2854
MEM 10558.218750 1619776271.3858
MEM 10558.218750 1619776271.4861
MEM 10558.218750 1619776271.5865
MEM 10558.218750 1619776271.6868
MEM 10558.218750 1619776271.7871
MEM 10558.218750 1619776271.8873
MEM 10558.218750 1619776271.9876
MEM 10558.218750 1619776272.0880
MEM 10558.218750 1619776272.1883
MEM 10558.218750 1619776272.2886
MEM 10558.218750 1619776272.3889
MEM 10558.218750 1619776272.4893
MEM 10558.218750 1619776272.5896
MEM 10520.335938 1619776272.6899
MEM 10576.218750 1619776272.7919
MEM 10591.085938 1619776272.8923
MEM 10604.492188 1619776272.9926
MEM 10617.984375 1619776273.0928
MEM 10627.039062 1619776273.1930
MEM 10643.085938 1619776273.2932
MEM 10653.945312 1619776273.3935
MEM 10663.000000 1619776273.4937
MEM 10680.851562 1619776273.5939
MEM 10689.906250 1619776273.6942
MEM 10698.960938 1619776273.7945
MEM 10708.015625 1619776273.8948
MEM 10725.867188 1619776273.9952
MEM 10762.605469 1619776274.0955
MEM 10762.605469 1619776274.1959
MEM 10762.605469 1619776274.2963
MEM 10762.605469 1619776274.3967
MEM 10762.605469 1619776274.4970
MEM 10762.605469 1619776274.5973
MEM 10762.605469 1619776274.6976
MEM 10762.605469 1619776274.7978
MEM 10762.605469 1619776274.8982
MEM 10762.605469 1619776274.9985
MEM 10742.078125 1619776275.1031
MEM 10785.386719 1619776275.2042
MEM 10865.468750 1619776275.3046
MEM 10881.453125 1619776275.4048
MEM 10897.437500 1619776275.5051
MEM 10916.515625 1619776275.6053
MEM 10933.273438 1619776275.7056
MEM 10949.257812 1619776275.8059
MEM 10965.242188 1619776275.9061
MEM 10985.351562 1619776276.0064
MEM 11001.332031 1619776276.1066
MEM 11017.316406 1619776276.2068
MEM 11033.296875 1619776276.3070
MEM 11049.281250 1619776276.4073
MEM 11069.390625 1619776276.5075
MEM 11085.375000 1619776276.6077
MEM 11101.359375 1619776276.7080
MEM 11224.542969 1619776276.8084
MEM 11267.500000 1619776276.9087
MEM 11267.500000 1619776277.0091
MEM 11267.500000 1619776277.1095
MEM 11267.500000 1619776277.2098
MEM 11267.500000 1619776277.3103
MEM 11267.500000 1619776277.4106
MEM 11267.500000 1619776277.5108
MEM 11267.500000 1619776277.6111
MEM 11267.500000 1619776277.7114
MEM 11137.750000 1619776277.8123
MEM 11211.699219 1619776277.9135
MEM 11304.289062 1619776278.0139
MEM 11313.285156 1619776278.1141
MEM 11322.308594 1619776278.2143
MEM 11331.332031 1619776278.3145
MEM 11340.355469 1619776278.4147
MEM 11349.378906 1619776278.5150
MEM 11358.402344 1619776278.6152
MEM 11367.425781 1619776278.7154
MEM 11385.160156 1619776278.8156
MEM 11394.441406 1619776278.9158
MEM 11403.464844 1619776279.0160
MEM 11412.355469 1619776279.1163
MEM 11421.488281 1619776279.2165
MEM 11430.351562 1619776279.3168
MEM 11439.488281 1619776279.4171
MEM 11457.289062 1619776279.5173
MEM 11466.488281 1619776279.6176
MEM 11484.453125 1619776279.7179
MEM 11493.250000 1619776279.8183
MEM 11511.359375 1619776279.9186
MEM 11520.414062 1619776280.0190
MEM 11529.488281 1619776280.1194
MEM 11547.320312 1619776280.2199
MEM 11556.488281 1619776280.3203
MEM 11574.484375 1619776280.4207
MEM 11583.281250 1619776280.5211
MEM 11592.488281 1619776280.6217
MEM 11610.445312 1619776280.7224
MEM 11619.242188 1619776280.8229
MEM 11637.351562 1619776280.9234
MEM 11646.406250 1619776281.0239
MEM 11660.906250 1619776281.1243
MEM 11673.312500 1619776281.2247
MEM 11682.488281 1619776281.3253
MEM 11700.476562 1619776281.4256
MEM 11709.273438 1619776281.5260
MEM 11727.382812 1619776281.6264
MEM 11736.437500 1619776281.7270
MEM 11750.421875 1619776281.8276
MEM 11763.343750 1619776281.9281
MEM 11772.488281 1619776282.0285
MEM 11781.488281 1619776282.1290
MEM 11799.304688 1619776282.2295
MEM 11808.488281 1619776282.3300
MEM 11826.468750 1619776282.4304
MEM 11835.265625 1619776282.5310
MEM 11844.488281 1619776282.6314
MEM 11862.429688 1619776282.7319
MEM 11871.484375 1619776282.8323
MEM 11989.652344 1619776282.9327
MEM 12049.500000 1619776283.0331
MEM 12049.500000 1619776283.1335
MEM 12049.500000 1619776283.2338
MEM 12049.500000 1619776283.3342
MEM 12049.500000 1619776283.4345
MEM 12049.500000 1619776283.5348
MEM 12049.500000 1619776283.6353
MEM 12049.500000 1619776283.7358
MEM 12049.500000 1619776283.8365
MEM 12049.500000 1619776283.9371
MEM 12049.500000 1619776284.0377
MEM 12049.500000 1619776284.1381
MEM 12049.500000 1619776284.2385
MEM 12049.500000 1619776284.3388
MEM 12049.500000 1619776284.4392
MEM 12049.500000 1619776284.5397
MEM 12049.500000 1619776284.6404
MEM 12049.500000 1619776284.7408
MEM 12049.500000 1619776284.8412
MEM 12049.500000 1619776284.9415
MEM 12049.500000 1619776285.0421
MEM 11904.507812 1619776285.1562
MEM 11904.507812 1619776285.2566
MEM 12000.546875 1619776285.3571
MEM 12018.835938 1619776285.4574
MEM 12033.789062 1619776285.5578
MEM 12050.546875 1619776285.6583
MEM 12068.335938 1619776285.7586
MEM 12086.382812 1619776285.8590
MEM 12100.054688 1619776285.9592
MEM 12117.921875 1619776286.0594
MEM 12135.968750 1619776286.1596
MEM 12154.015625 1619776286.2599
MEM 12171.804688 1619776286.3601
MEM 12185.554688 1619776286.4603
MEM 12203.554688 1619776286.5605
MEM 12221.531250 1619776286.6607
MEM 12239.382812 1619776286.7609
MEM 12257.492188 1619776286.8611
MEM 12271.054688 1619776286.9613
MEM 12289.054688 1619776287.0616
MEM 12410.882812 1619776287.1618
MEM 12467.066406 1619776287.2620
MEM 12467.066406 1619776287.3622
MEM 12467.066406 1619776287.4624
MEM 12467.066406 1619776287.5626
MEM 12467.066406 1619776287.6628
MEM 12467.066406 1619776287.7630
MEM 12467.066406 1619776287.8634
MEM 12467.066406 1619776287.9637
MEM 12467.066406 1619776288.0640
MEM 12467.066406 1619776288.1643
MEM 12321.058594 1619776288.2647
MEM 12321.058594 1619776288.3655
MEM 12402.988281 1619776288.4665
MEM 12553.976562 1619776288.5669
MEM 12571.765625 1619776288.6674
MEM 12589.812500 1619776288.7677
MEM 12607.859375 1619776288.8680
MEM 12625.906250 1619776288.9682
MEM 12643.953125 1619776289.0684
MEM 12663.546875 1619776289.1686
MEM 12681.851562 1619776289.2688
MEM 12699.898438 1619776289.3690
MEM 12717.945312 1619776289.4692
MEM 12735.992188 1619776289.5694
MEM 12753.781250 1619776289.6697
MEM 12771.828125 1619776289.7699
MEM 12783.945312 1619776289.8702
MEM 12801.992188 1619776289.9705
MEM 12817.976562 1619776290.0709
MEM 12833.960938 1619776290.1712
MEM 12852.007812 1619776290.2715
MEM 12869.796875 1619776290.3718
MEM 12887.843750 1619776290.4720
MEM 12905.890625 1619776290.5723
MEM 12923.937500 1619776290.6726
MEM 12941.984375 1619776290.7731
MEM 12959.773438 1619776290.8735
MEM 12977.820312 1619776290.9739
MEM 12995.867188 1619776291.0743
MEM 13013.914062 1619776291.1748
MEM 13031.960938 1619776291.2753
MEM 13050.007812 1619776291.3757
MEM 13124.031250 1619776291.4762
MEM 13124.031250 1619776291.5765
MEM 13124.066406 1619776291.6768
MEM 13124.066406 1619776291.7770
MEM 13124.066406 1619776291.8773
MEM 13124.066406 1619776291.9777
MEM 13124.066406 1619776292.0779
MEM 13124.066406 1619776292.1783
MEM 13124.066406 1619776292.2787
MEM 13124.066406 1619776292.3789
MEM 13124.066406 1619776292.4792
MEM 13124.320312 1619776292.5805
MEM 13124.320312 1619776292.6814
MEM 13124.320312 1619776292.7822
MEM 13124.320312 1619776292.8830
MEM 13124.320312 1619776292.9835
MEM 13264.089844 1619776293.0846
MEM 13382.035156 1619776293.1850
MEM 13456.757812 1619776293.2854
MEM 13474.546875 1619776293.3857
MEM 13488.210938 1619776293.4861
MEM 13501.617188 1619776293.5864
MEM 13519.664062 1619776293.6868
MEM 13533.070312 1619776293.7874
MEM 13551.117188 1619776293.8879
MEM 13564.781250 1619776293.9884
MEM 13582.570312 1619776294.0888
MEM 13596.234375 1619776294.1893
MEM 13614.089844 1619776294.2897
MEM 13627.753906 1619776294.3901
MEM 13645.542969 1619776294.4904
MEM 13659.207031 1619776294.5907
MEM 13677.285156 1619776294.6909
MEM 13690.691406 1619776294.7911
MEM 13708.769531 1619776294.8914
MEM 13722.175781 1619776294.9917
MEM 13740.222656 1619776295.0919
MEM 13753.660156 1619776295.1922
MEM 13771.707031 1619776295.2925
MEM 13785.113281 1619776295.3928
MEM 13803.191406 1619776295.4931
MEM 13819.949219 1619776295.5936
MEM 13834.644531 1619776295.6939
MEM 13848.300781 1619776295.7943
MEM 13866.171875 1619776295.8946
MEM 13879.800781 1619776295.9950
MEM 13897.734375 1619776296.0953
MEM 13911.300781 1619776296.1959
MEM 13929.296875 1619776296.2965
MEM 13942.800781 1619776296.3969
MEM 13956.300781 1619776296.4972
MEM 13974.054688 1619776296.5976
MEM 13987.800781 1619776296.6981
MEM 14005.617188 1619776296.7984
MEM 14019.300781 1619776296.8989
MEM 14037.179688 1619776296.9994
MEM 14050.800781 1619776297.0998
MEM 14068.742188 1619776297.2000
MEM 14082.300781 1619776297.3003
MEM 14100.046875 1619776297.4005
MEM 14113.757812 1619776297.5007
MEM 14127.300781 1619776297.6009
MEM 14145.062500 1619776297.7011
MEM 14158.800781 1619776297.8013
MEM 14176.625000 1619776297.9018
MEM 14190.300781 1619776298.0021
MEM 14208.187500 1619776298.1024
MEM 14221.800781 1619776298.2026
MEM 14239.750000 1619776298.3029
MEM 14253.300781 1619776298.4032
MEM 14271.054688 1619776298.5035
MEM 14284.800781 1619776298.6038
MEM 14302.617188 1619776298.7040
MEM 14316.300781 1619776298.8043
MEM 14329.800781 1619776298.9046
MEM 14347.632812 1619776299.0077
MEM 14361.300781 1619776299.1080
MEM 14379.195312 1619776299.2083
MEM 14392.800781 1619776299.3087
MEM 14410.757812 1619776299.4090
MEM 14424.300781 1619776299.5093
MEM 14442.062500 1619776299.6097
MEM 14455.773438 1619776299.7101
MEM 14469.300781 1619776299.8105
MEM 14487.078125 1619776299.9109
MEM 14500.800781 1619776300.0111
MEM 14518.640625 1619776300.1113
MEM 14532.300781 1619776300.2115
MEM 14550.203125 1619776300.3117
MEM 14563.800781 1619776300.4119
MEM 14581.765625 1619776300.5121
MEM 14595.300781 1619776300.6123
MEM 14747.929688 1619776300.7126
MEM 14875.835938 1619776300.8128
MEM 14989.531250 1619776300.9130
MEM 15133.132812 1619776301.0134
MEM 15243.312500 1619776301.1136
MEM 15243.312500 1619776301.2138
MEM 15243.312500 1619776301.3140
MEM 15243.312500 1619776301.4142
MEM 15243.312500 1619776301.5145
MEM 15243.312500 1619776301.6147
MEM 15243.312500 1619776301.7149
MEM 15243.312500 1619776301.8151
MEM 15243.312500 1619776301.9154
MEM 15243.312500 1619776302.0158
MEM 15243.312500 1619776302.1161
MEM 15243.312500 1619776302.2164
MEM 15243.312500 1619776302.3168
MEM 15243.312500 1619776302.4171
MEM 15243.312500 1619776302.5175
MEM 15243.312500 1619776302.6179
MEM 15243.312500 1619776302.7183
MEM 15243.312500 1619776302.8185
MEM 15243.312500 1619776302.9187
MEM 15243.312500 1619776303.0189
MEM 15243.312500 1619776303.1192
MEM 15243.312500 1619776303.2194
MEM 14659.562500 1619776303.3204
MEM 14660.078125 1619776303.4211
MEM 14660.078125 1619776303.5217
MEM 14660.078125 1619776303.6224
MEM 14660.335938 1619776303.7234
MEM 14660.335938 1619776303.8236
MEM 14817.460938 1619776303.9244
MEM 14859.914062 1619776304.0247
MEM 14877.960938 1619776304.1251
MEM 14898.328125 1619776304.2255
MEM 14916.375000 1619776304.3257
MEM 14934.269531 1619776304.4259
MEM 14952.316406 1619776304.5262
MEM 14970.363281 1619776304.6264
MEM 14988.152344 1619776304.7268
MEM 15008.519531 1619776304.8272
MEM 15026.597656 1619776304.9276
MEM 15044.386719 1619776305.0281
MEM 15064.753906 1619776305.1286
MEM 15082.800781 1619776305.2290
MEM 15100.621094 1619776305.3295
MEM 15118.667969 1619776305.4298
MEM 15136.714844 1619776305.5303
MEM 15157.082031 1619776305.6307
MEM 15174.933594 1619776305.7311
MEM 15193.042969 1619776305.8314
MEM 15210.894531 1619776305.9317
MEM 15229.003906 1619776306.0320
MEM 15247.113281 1619776306.1323
MEM 15265.128906 1619776306.2327
MEM 15283.128906 1619776306.3330
MEM 15301.128906 1619776306.4333
MEM 15319.128906 1619776306.5336
MEM 15336.886719 1619776306.6340
MEM 15355.128906 1619776306.7343
MEM 15373.128906 1619776306.8346
MEM 15393.285156 1619776306.9350
MEM 15411.136719 1619776307.0353
MEM 15447.093750 1619776307.1356
MEM 15491.136719 1619776307.2359
MEM 15491.136719 1619776307.3363
MEM 15491.136719 1619776307.4367
MEM 15491.136719 1619776307.5371
MEM 15491.136719 1619776307.6376
MEM 15491.136719 1619776307.7380
MEM 15491.136719 1619776307.8384
MEM 15491.136719 1619776307.9389
MEM 15491.136719 1619776308.0393
MEM 15491.136719 1619776308.1397
MEM 15491.136719 1619776308.2402
MEM 15549.816406 1619776308.3406
MEM 15491.132812 1619776308.4414
MEM 15491.132812 1619776308.5422
MEM 15491.132812 1619776308.6431
MEM 15491.132812 1619776308.7439
MEM 15491.132812 1619776308.8442
MEM 15670.496094 1619776308.9449
MEM 15696.164062 1619776309.0451
MEM 15714.210938 1619776309.1454
MEM 15732.773438 1619776309.2456
MEM 15752.625000 1619776309.3458
MEM 15770.414062 1619776309.4460
