power.draw [W], utilization.gpu [%], utilization.memory [%], temperature.gpu, pstate
40.72, 9, 0, 67, P0
55.62, 81, 35, 68, P0
83.26, 82, 35, 68, P0
52.54, 98, 39, 68, P0
69.79, 99, 44, 68, P0
66.96, 98, 34, 69, P0
58.94, 98, 46, 68, P0
42.68, 89, 36, 68, P0
74.37, 85, 39, 69, P0
69.56, 98, 41, 69, P0
61.27, 99, 41, 68, P0
86.08, 98, 43, 69, P0
77.25, 98, 36, 69, P0
44.24, 98, 43, 68, P0
74.32, 93, 40, 69, P0
74.99, 92, 37, 68, P0
67.06, 98, 40, 68, P0
71.97, 99, 45, 69, P0
65.52, 98, 36, 68, P0
57.78, 98, 46, 68, P0
72.02, 90, 36, 69, P0
68.12, 91, 40, 68, P0
60.12, 98, 40, 69, P0
64.12, 99, 43, 69, P0
73.55, 98, 36, 69, P0
73.75, 98, 48, 69, P0
53.60, 93, 38, 69, P0
72.45, 98, 44, 69, P0
65.71, 99, 41, 68, P0
60.98, 99, 42, 68, P0
81.12, 98, 36, 69, P0
62.08, 99, 38, 69, P0
43.28, 98, 43, 69, P0
70.92, 93, 39, 69, P0
61.72, 84, 34, 69, P0
65.95, 98, 41, 68, P0
82.33, 99, 45, 69, P0
63.89, 98, 36, 69, P0
63.29, 96, 45, 68, P0
93.04, 98, 43, 69, P0
76.05, 93, 39, 68, P0
65.95, 99, 40, 69, P0
50.39, 98, 43, 68, P0
62.81, 97, 36, 69, P0
64.41, 97, 45, 68, P0
40.65, 98, 47, 68, P0
40.65, 85, 36, 69, P0
72.93, 84, 35, 68, P0
61.79, 99, 41, 69, P0
78.73, 92, 42, 68, P0
56.98, 99, 37, 69, P0
67.79, 95, 43, 69, P0
51.19, 98, 40, 68, P0
68.42, 99, 45, 69, P0
71.68, 73, 30, 69, P0
67.69, 99, 44, 69, P0
54.99, 98, 41, 68, P0
77.20, 99, 40, 69, P0
55.24, 90, 36, 68, P0
46.49, 99, 48, 69, P0
63.94, 81, 35, 69, P0
81.32, 60, 27, 69, P0
74.61, 99, 41, 68, P0
53.86, 98, 43, 68, P0
81.51, 99, 38, 69, P0
70.04, 98, 44, 68, P0
47.20, 90, 36, 69, P0
75.28, 90, 37, 69, P0
70.04, 98, 40, 68, P0
63.00, 98, 44, 69, P0
66.87, 99, 38, 69, P0
69.47, 98, 42, 68, P0
45.65, 98, 40, 68, P0
74.32, 99, 48, 69, P0
60.83, 85, 35, 69, P0
68.60, 99, 44, 69, P0
64.31, 98, 41, 68, P0
71.58, 99, 41, 69, P0
63.74, 98, 37, 69, P0
41.59, 94, 45, 68, P0
74.85, 97, 41, 69, P0
75.66, 92, 38, 69, P0
75.90, 78, 36, 69, P0
70.72, 99, 44, 68, P0
64.99, 99, 38, 69, P0
65.62, 97, 44, 69, P0
62.77, 99, 44, 68, P0
61.04, 67, 27, 69, P0
73.26, 97, 41, 69, P0
54.83, 98, 43, 69, P0
66.81, 99, 37, 69, P0
67.98, 99, 41, 69, P0
57.17, 98, 38, 68, P0
91.48, 98, 45, 69, P0
76.72, 93, 38, 69, P0
71.92, 89, 35, 69, P0
71.49, 80, 36, 69, P0
47.68, 98, 44, 69, P0
84.37, 99, 38, 69, P0
