power.draw [W], utilization.gpu [%], utilization.memory [%], temperature.gpu, pstate
40.46, 0, 0, 67, P0
69.43, 92, 36, 68, P0
65.08, 89, 35, 68, P0
76.57, 98, 41, 68, P0
76.86, 98, 43, 68, P0
69.80, 99, 37, 68, P0
49.39, 98, 43, 68, P0
72.02, 99, 44, 68, P0
68.70, 90, 37, 68, P0
61.37, 85, 41, 68, P0
78.11, 98, 41, 68, P0
66.68, 99, 42, 69, P0
71.82, 95, 36, 68, P0
55.47, 98, 48, 68, P0
75.90, 88, 39, 68, P0
67.69, 93, 42, 68, P0
69.27, 93, 40, 68, P0
50.42, 98, 43, 68, P0
57.67, 99, 37, 69, P0
66.04, 98, 45, 68, P0
50.62, 89, 36, 68, P0
72.45, 78, 32, 68, P0
64.22, 98, 41, 68, P0
76.05, 99, 44, 68, P0
60.35, 98, 41, 68, P0
69.27, 98, 40, 68, P0
61.46, 98, 37, 68, P0
71.26, 99, 47, 68, P0
68.03, 90, 36, 68, P0
66.39, 98, 41, 68, P0
47.17, 98, 44, 68, P0
65.85, 97, 36, 68, P0
74.22, 98, 44, 68, P0
97.13, 90, 38, 69, P0
81.46, 90, 37, 68, P0
55.37, 97, 39, 68, P0
74.03, 98, 44, 68, P0
67.73, 96, 34, 68, P0
59.10, 98, 46, 68, P0
41.62, 73, 31, 68, P0
73.41, 93, 38, 68, P0
58.32, 98, 40, 68, P0
69.23, 98, 44, 68, P0
56.53, 99, 39, 68, P0
70.00, 99, 41, 68, P0
56.91, 98, 37, 68, P0
80.70, 99, 47, 69, P0
69.42, 93, 37, 68, P0
69.61, 97, 39, 68, P0
47.10, 98, 43, 69, P0
91.30, 99, 37, 68, P0
78.44, 98, 39, 68, P0
46.89, 99, 45, 68, P0
69.58, 93, 40, 68, P0
68.60, 90, 43, 68, P0
60.50, 94, 39, 68, P0
61.95, 99, 45, 68, P0
68.17, 98, 35, 68, P0
70.14, 98, 49, 68, P0
40.14, 86, 35, 68, P0
77.15, 91, 38, 69, P0
71.01, 98, 41, 68, P0
58.17, 99, 43, 68, P0
77.25, 99, 38, 68, P0
60.50, 99, 43, 68, P0
56.98, 98, 37, 68, P0
72.55, 98, 47, 68, P0
71.25, 84, 37, 69, P0
65.91, 92, 42, 68, P0
72.26, 98, 41, 68, P0
79.45, 99, 42, 68, P0
70.82, 98, 35, 68, P0
47.75, 98, 48, 68, P0
70.63, 93, 39, 68, P0
67.00, 98, 45, 68, P0
57.75, 89, 37, 68, P0
77.63, 99, 42, 69, P0
51.48, 97, 35, 68, P0
75.76, 99, 47, 68, P0
42.29, 91, 36, 68, P0
70.10, 91, 41, 68, P0
64.41, 98, 41, 68, P0
66.48, 99, 42, 68, P0
75.66, 91, 33, 69, P0
77.39, 98, 48, 69, P0
51.42, 98, 43, 69, P0
69.58, 95, 40, 68, P0
69.75, 85, 34, 68, P0
67.40, 97, 42, 68, P0
50.10, 98, 44, 68, P0
63.16, 99, 37, 68, P0
72.16, 98, 43, 68, P0
63.65, 97, 41, 68, P0
76.81, 85, 34, 68, P0
51.77, 98, 41, 68, P0
78.73, 99, 44, 68, P0
68.21, 98, 35, 68, P0
64.50, 98, 47, 68, P0
43.17, 93, 37, 68, P0
70.68, 92, 40, 68, P0
61.81, 98, 41, 69, P0
58.23, 99, 41, 68, P0
89.42, 98, 35, 68, P0
75.28, 88, 45, 68, P0
75.86, 90, 38, 68, P0
72.45, 99, 44, 68, P0
74.80, 90, 36, 68, P0
49.75, 98, 40, 68, P0
72.40, 98, 43, 69, P0
66.87, 99, 37, 69, P0
59.44, 98, 44, 68, P0
62.44, 94, 38, 68, P0
67.44, 93, 40, 68, P0
75.81, 98, 41, 68, P0
72.64, 99, 41, 69, P0
66.00, 98, 35, 68, P0
47.87, 98, 47, 68, P0
76.57, 89, 38, 69, P0
74.85, 97, 43, 69, P0
51.00, 98, 42, 68, P0
62.43, 99, 38, 69, P0
69.32, 98, 43, 69, P0
44.97, 94, 40, 68, P0
68.85, 93, 38, 68, P0
66.35, 90, 36, 68, P0
65.33, 98, 41, 68, P0
47.00, 96, 42, 68, P0
86.69, 99, 40, 68, P0
72.98, 98, 39, 68, P0
59.89, 99, 47, 69, P0
72.45, 87, 35, 68, P0
56.24, 99, 45, 68, P0
74.99, 96, 41, 68, P0
54.06, 99, 44, 69, P0
67.73, 98, 34, 68, P0
48.13, 98, 47, 68, P0
77.15, 90, 39, 69, P0
68.95, 98, 44, 68, P0
67.35, 98, 41, 69, P0
58.52, 88, 38, 68, P0
85.52, 98, 37, 68, P0
74.90, 99, 47, 68, P0
74.08, 83, 33, 69, P0
76.05, 99, 44, 68, P0
56.88, 99, 43, 69, P0
63.87, 99, 37, 69, P0
75.95, 98, 36, 68, P0
74.37, 99, 37, 69, P0
92.30, 98, 47, 69, P0
77.05, 92, 37, 69, P0
76.24, 72, 32, 68, P0
68.56, 97, 41, 69, P0
65.43, 99, 44, 68, P0
89.27, 99, 38, 69, P0
73.26, 97, 45, 68, P0
67.17, 99, 44, 69, P0
75.90, 89, 36, 68, P0
51.29, 98, 41, 69, P0
83.48, 99, 43, 68, P0
71.92, 99, 39, 69, P0
76.77, 97, 37, 68, P0
75.14, 99, 48, 68, P0
91.69, 86, 35, 69, P0
75.28, 77, 39, 69, P0
75.47, 95, 41, 69, P0
49.58, 99, 42, 68, P0
67.88, 98, 37, 69, P0
63.29, 98, 36, 68, P0
79.20, 97, 47, 69, P0
74.66, 90, 37, 69, P0
71.25, 85, 36, 69, P0
80.98, 98, 40, 68, P0
63.60, 99, 45, 69, P0
67.16, 97, 35, 69, P0
48.01, 98, 46, 68, P0
67.70, 92, 39, 69, P0
62.33, 92, 40, 68, P0
77.00, 98, 41, 68, P0
70.82, 99, 43, 69, P0
65.43, 98, 36, 68, P0
80.69, 98, 48, 68, P0
91.75, 93, 39, 69, P0
81.60, 99, 45, 69, P0
68.21, 91, 40, 69, P0
49.00, 98, 41, 68, P0
59.87, 98, 37, 69, P0
57.61, 99, 48, 69, P0
74.04, 98, 47, 69, P0
63.16, 92, 40, 69, P0
56.11, 97, 44, 69, P0
56.91, 97, 40, 68, P0
91.30, 99, 41, 69, P0
79.69, 98, 39, 69, P0
78.11, 99, 45, 69, P0
76.14, 92, 36, 69, P0
69.51, 98, 41, 69, P0
82.07, 98, 44, 68, P0
71.49, 99, 37, 69, P0
59.29, 98, 44, 68, P0
48.91, 99, 44, 68, P0
76.38, 94, 38, 69, P0
69.94, 98, 40, 68, P0
62.20, 99, 45, 69, P0
88.01, 98, 36, 69, P0
64.46, 98, 47, 69, P0
62.41, 93, 38, 69, P0
70.48, 94, 42, 69, P0
72.83, 98, 42, 69, P0
63.39, 96, 40, 68, P0
88.41, 98, 44, 69, P0
62.77, 99, 38, 69, P0
76.29, 97, 39, 68, P0
73.99, 99, 46, 68, P0
72.89, 90, 38, 69, P0
70.57, 92, 41, 69, P0
64.12, 98, 42, 68, P0
79.92, 99, 41, 69, P0
71.58, 97, 36, 69, P0
72.89, 99, 47, 69, P0
70.19, 91, 37, 69, P0
70.43, 99, 42, 69, P0
71.10, 98, 43, 68, P0
83.81, 99, 38, 69, P0
66.58, 98, 45, 69, P0
50.87, 97, 42, 69, P0
72.36, 88, 34, 69, P0
63.25, 97, 40, 69, P0
77.44, 98, 43, 69, P0
81.70, 99, 38, 69, P0
59.29, 99, 41, 68, P0
75.28, 98, 42, 68, P0
70.39, 99, 45, 69, P0
76.14, 91, 35, 69, P0
68.21, 97, 40, 69, P0
49.84, 98, 42, 69, P0
74.37, 99, 41, 69, P0
65.66, 98, 38, 69, P0
41.04, 98, 48, 69, P0
73.51, 90, 38, 69, P0
61.66, 99, 44, 69, P0
59.67, 91, 38, 69, P0
64.75, 99, 42, 69, P0
68.12, 98, 38, 69, P0
64.79, 99, 45, 68, P0
67.88, 85, 35, 69, P0
67.78, 98, 41, 69, P0
77.34, 98, 43, 68, P0
67.49, 99, 39, 69, P0
58.84, 98, 43, 68, P0
80.84, 98, 38, 68, P0
82.69, 99, 47, 69, P0
69.18, 83, 34, 69, P0
66.29, 98, 44, 69, P0
48.62, 98, 41, 69, P0
77.25, 99, 39, 69, P0
80.84, 98, 38, 69, P0
64.81, 99, 45, 69, P0
85.81, 77, 30, 69, P0
74.22, 99, 45, 69, P0
51.68, 97, 41, 68, P0
60.66, 99, 41, 69, P0
59.06, 98, 36, 69, P0
61.43, 88, 41, 69, P0
50.13, 90, 37, 69, P0
70.54, 92, 39, 69, P0
71.39, 98, 40, 69, P0
47.46, 97, 42, 69, P0
78.25, 97, 36, 69, P0
74.70, 98, 48, 69, P0
49.30, 89, 36, 68, P0
72.16, 99, 45, 69, P0
74.23, 87, 35, 69, P0
74.70, 98, 41, 69, P0
49.55, 98, 42, 69, P0
67.44, 99, 37, 69, P0
73.75, 98, 41, 69, P0
77.53, 99, 45, 69, P0
77.00, 85, 34, 69, P0
65.56, 91, 39, 69, P0
79.02, 98, 44, 69, P0
77.48, 99, 38, 69, P0
69.71, 97, 45, 69, P0
40.14, 87, 36, 68, P0
64.19, 93, 39, 69, P0
70.76, 99, 45, 69, P0
62.97, 98, 41, 69, P0
75.95, 99, 42, 69, P0
64.70, 98, 36, 69, P0
57.40, 99, 47, 69, P0
70.44, 94, 40, 69, P0
75.42, 99, 44, 69, P0
62.97, 92, 38, 68, P0
51.39, 79, 36, 69, P0
72.74, 98, 43, 69, P0
69.13, 99, 38, 69, P0
76.67, 98, 36, 69, P0
56.05, 87, 41, 68, P0
78.54, 91, 37, 69, P0
65.81, 89, 36, 69, P0
76.19, 98, 39, 69, P0
66.00, 99, 44, 69, P0
76.53, 99, 39, 69, P0
57.26, 98, 43, 69, P0
41.11, 93, 40, 69, P0
79.20, 85, 34, 69, P0
74.56, 99, 44, 69, P0
64.12, 98, 41, 69, P0
64.35, 99, 39, 69, P0
69.65, 98, 43, 69, P0
55.18, 88, 41, 68, P0
75.04, 91, 36, 69, P0
69.67, 84, 35, 69, P0
64.85, 95, 43, 69, P0
55.18, 97, 41, 68, P0
84.99, 99, 41, 69, P0
74.61, 98, 39, 68, P0
102.12, 88, 43, 69, P0
69.48, 85, 34, 69, P0
66.87, 99, 44, 69, P0
49.46, 98, 43, 69, P0
66.95, 99, 37, 69, P0
64.99, 98, 42, 69, P0
54.15, 99, 46, 69, P0
76.33, 93, 38, 69, P0
65.91, 98, 41, 69, P0
69.04, 98, 44, 68, P0
74.42, 91, 35, 69, P0
68.27, 98, 43, 69, P0
60.25, 99, 46, 69, P0
67.89, 82, 33, 69, P0
75.52, 90, 40, 69, P0
68.64, 98, 41, 69, P0
69.95, 98, 41, 68, P0
