power.draw [W], utilization.gpu [%], utilization.memory [%], temperature.gpu, pstate
40.53, 11, 1, 68, P0
68.32, 98, 45, 69, P0
65.18, 92, 36, 69, P0
59.96, 98, 41, 69, P0
73.12, 98, 42, 69, P0
63.20, 99, 38, 69, P0
74.99, 98, 44, 69, P0
78.58, 95, 41, 69, P0
75.33, 86, 35, 69, P0
68.79, 97, 41, 69, P0
51.93, 99, 44, 69, P0
62.48, 99, 36, 69, P0
60.06, 95, 45, 69, P0
75.38, 94, 39, 69, P0
76.33, 93, 37, 69, P0
56.53, 98, 40, 69, P0
67.44, 99, 44, 69, P0
77.68, 98, 35, 69, P0
67.31, 98, 47, 69, P0
57.39, 92, 38, 69, P0
73.32, 99, 44, 69, P0
70.57, 98, 40, 69, P0
46.98, 98, 40, 69, P0
86.23, 99, 45, 69, P0
76.67, 98, 35, 69, P0
89.56, 93, 45, 69, P0
72.45, 91, 40, 69, P0
66.25, 98, 44, 69, P0
55.56, 98, 41, 69, P0
64.94, 99, 41, 69, P0
65.37, 97, 35, 69, P0
47.27, 99, 47, 69, P0
73.46, 93, 38, 69, P0
69.61, 99, 41, 69, P0
52.16, 98, 42, 69, P0
88.91, 99, 37, 70, P0
67.11, 98, 45, 69, P0
66.19, 97, 43, 69, P0
76.48, 89, 37, 69, P0
58.87, 98, 41, 69, P0
79.21, 97, 44, 69, P0
78.20, 98, 36, 70, P0
67.69, 99, 38, 69, P0
42.97, 98, 44, 69, P0
70.44, 98, 42, 69, P0
60.69, 93, 38, 69, P0
54.15, 97, 40, 69, P0
81.60, 99, 45, 70, P0
68.60, 98, 35, 69, P0
64.37, 98, 47, 69, P0
94.56, 99, 42, 70, P0
72.40, 79, 33, 69, P0
68.02, 98, 42, 69, P0
49.84, 98, 44, 69, P0
66.19, 99, 37, 70, P0
67.59, 98, 45, 69, P0
44.13, 93, 37, 69, P0
74.85, 93, 41, 69, P0
64.22, 98, 42, 69, P0
54.35, 99, 40, 69, P0
83.28, 98, 37, 69, P0
74.42, 99, 47, 69, P0
89.08, 98, 46, 69, P0
72.50, 93, 39, 69, P0
60.21, 96, 43, 69, P0
74.32, 88, 39, 69, P0
69.09, 99, 41, 69, P0
63.83, 98, 38, 69, P0
51.87, 98, 48, 70, P0
68.82, 93, 40, 69, P0
65.48, 88, 40, 69, P0
75.28, 99, 41, 69, P0
66.58, 99, 42, 70, P0
67.44, 98, 36, 69, P0
46.78, 99, 48, 69, P0
68.95, 93, 38, 69, P0
75.33, 99, 40, 69, P0
41.81, 92, 40, 69, P0
63.54, 99, 37, 70, P0
72.35, 98, 43, 69, P0
53.03, 87, 36, 69, P0
74.04, 92, 37, 69, P0
64.12, 91, 36, 69, P0
70.57, 99, 41, 69, P0
79.36, 99, 44, 70, P0
72.74, 99, 39, 69, P0
59.13, 98, 44, 69, P0
67.36, 86, 35, 69, P0
65.12, 95, 39, 69, P0
74.51, 98, 41, 69, P0
69.28, 99, 40, 70, P0
66.29, 98, 38, 70, P0
92.97, 99, 45, 69, P0
74.08, 94, 38, 69, P0
52.90, 99, 41, 69, P0
73.75, 99, 45, 69, P0
72.35, 98, 36, 70, P0
61.85, 98, 46, 69, P0
62.89, 94, 40, 70, P0
71.68, 99, 44, 69, P0
73.26, 98, 41, 69, P0
53.28, 99, 40, 70, P0
83.85, 98, 38, 69, P0
76.53, 99, 37, 70, P0
85.79, 98, 44, 70, P0
71.78, 87, 38, 69, P0
70.34, 93, 39, 69, P0
56.43, 98, 41, 69, P0
77.29, 98, 44, 70, P0
61.81, 99, 36, 69, P0
64.85, 98, 46, 69, P0
73.12, 91, 37, 69, P0
69.56, 95, 42, 69, P0
74.22, 98, 42, 69, P0
79.21, 97, 40, 70, P0
67.59, 98, 37, 69, P0
64.83, 99, 47, 69, P0
93.22, 77, 31, 70, P0
72.16, 99, 45, 69, P0
62.14, 98, 41, 69, P0
70.29, 96, 38, 70, P0
66.43, 98, 41, 70, P0
67.93, 98, 37, 69, P0
72.31, 99, 48, 69, P0
81.74, 79, 33, 70, P0
65.22, 92, 40, 69, P0
75.76, 98, 40, 69, P0
73.46, 98, 42, 70, P0
72.88, 98, 35, 69, P0
62.04, 98, 46, 69, P0
73.84, 94, 38, 70, P0
65.75, 92, 40, 69, P0
75.42, 98, 41, 69, P0
82.23, 99, 42, 70, P0
73.07, 96, 36, 70, P0
49.97, 98, 48, 69, P0
93.96, 91, 37, 70, P0
76.43, 99, 45, 69, P0
65.95, 98, 41, 69, P0
50.42, 99, 40, 70, P0
64.18, 98, 41, 69, P0
66.54, 99, 45, 69, P0
82.88, 91, 35, 70, P0
63.20, 94, 39, 69, P0
64.41, 99, 41, 69, P0
66.82, 98, 42, 69, P0
89.39, 97, 36, 69, P0
74.32, 98, 45, 69, P0
68.66, 99, 43, 69, P0
68.75, 93, 37, 69, P0
54.15, 98, 41, 70, P0
48.59, 97, 42, 69, P0
76.62, 99, 37, 69, P0
76.53, 98, 44, 69, P0
60.64, 99, 48, 70, P0
70.73, 93, 38, 69, P0
74.37, 98, 44, 69, P0
55.47, 98, 42, 69, P0
69.04, 98, 39, 69, P0
83.56, 98, 36, 69, P0
76.77, 98, 48, 69, P0
92.40, 93, 38, 69, P0
71.88, 92, 42, 69, P0
74.32, 98, 41, 69, P0
48.42, 98, 39, 69, P0
60.73, 99, 44, 69, P0
