power.draw [W], utilization.gpu [%], utilization.memory [%], temperature.gpu, pstate
40.58, 9, 0, 68, P0
71.83, 91, 38, 69, P0
75.38, 91, 41, 68, P0
55.08, 95, 41, 69, P0
67.31, 99, 42, 69, P0
72.06, 98, 39, 69, P0
48.33, 99, 45, 69, P0
61.58, 89, 35, 69, P0
70.48, 98, 42, 69, P0
60.79, 99, 43, 69, P0
91.98, 98, 35, 69, P0
80.26, 98, 45, 69, P0
55.56, 93, 37, 69, P0
73.65, 99, 44, 69, P0
60.08, 93, 37, 69, P0
76.77, 98, 41, 68, P0
77.54, 99, 45, 69, P0
57.20, 98, 36, 69, P0
43.26, 98, 46, 69, P0
74.32, 93, 39, 69, P0
57.97, 92, 41, 69, P0
57.69, 98, 42, 68, P0
88.85, 91, 39, 69, P0
62.29, 98, 37, 69, P0
58.13, 99, 48, 68, P0
75.43, 90, 36, 69, P0
69.74, 99, 45, 69, P0
77.44, 98, 41, 69, P0
80.59, 99, 37, 69, P0
50.23, 97, 44, 69, P0
47.94, 99, 44, 68, P0
101.86, 92, 37, 69, P0
76.10, 94, 39, 69, P0
69.90, 98, 41, 69, P0
67.93, 99, 43, 69, P0
62.81, 99, 36, 69, P0
43.55, 98, 47, 69, P0
78.58, 90, 37, 69, P0
67.69, 92, 39, 69, P0
58.71, 98, 40, 69, P0
48.78, 99, 43, 69, P0
67.44, 98, 37, 69, P0
54.31, 98, 48, 68, P0
68.99, 88, 36, 69, P0
74.80, 92, 42, 69, P0
68.17, 94, 40, 69, P0
51.00, 99, 42, 69, P0
64.85, 96, 35, 69, P0
54.35, 99, 48, 69, P0
69.62, 91, 38, 69, P0
74.85, 99, 43, 69, P0
57.88, 99, 43, 69, P0
54.44, 99, 41, 69, P0
83.75, 99, 41, 69, P0
60.44, 98, 41, 69, P0
73.60, 98, 44, 69, P0
69.65, 90, 36, 69, P0
73.46, 98, 42, 69, P0
70.48, 99, 44, 69, P0
63.06, 99, 37, 69, P0
43.81, 98, 46, 68, P0
90.36, 92, 38, 69, P0
63.41, 87, 38, 69, P0
66.19, 97, 40, 69, P0
49.65, 99, 44, 69, P0
62.23, 98, 36, 69, P0
56.72, 99, 49, 69, P0
64.90, 91, 40, 69, P0
75.47, 96, 43, 69, P0
54.79, 99, 42, 69, P0
69.65, 99, 40, 69, P0
68.79, 98, 35, 69, P0
68.21, 98, 48, 69, P0
47.65, 98, 45, 69, P0
74.51, 92, 37, 69, P0
61.12, 90, 39, 69, P0
58.71, 99, 41, 69, P0
89.77, 99, 40, 69, P0
75.28, 98, 35, 69, P0
72.21, 99, 47, 69, P0
75.18, 85, 34, 69, P0
68.76, 99, 40, 69, P0
66.81, 99, 43, 69, P0
89.90, 98, 36, 69, P0
65.33, 98, 44, 69, P0
75.18, 91, 39, 69, P0
78.44, 93, 39, 69, P0
68.21, 98, 41, 69, P0
63.16, 99, 41, 69, P0
66.35, 98, 37, 69, P0
63.31, 98, 49, 69, P0
44.49, 91, 38, 69, P0
74.13, 99, 44, 69, P0
69.23, 95, 41, 69, P0
55.76, 99, 41, 69, P0
83.85, 99, 40, 69, P0
67.00, 98, 38, 69, P0
75.57, 99, 45, 69, P0
67.25, 94, 38, 69, P0
69.80, 99, 41, 69, P0
50.36, 99, 44, 69, P0
60.02, 98, 35, 69, P0
54.15, 96, 47, 69, P0
67.84, 91, 39, 69, P0
64.22, 99, 45, 69, P0
76.53, 98, 42, 69, P0
74.94, 99, 37, 69, P0
56.43, 98, 42, 69, P0
61.54, 99, 42, 69, P0
84.85, 89, 37, 69, P0
74.27, 96, 40, 69, P0
59.00, 98, 41, 69, P0
60.25, 98, 43, 69, P0
71.82, 99, 38, 69, P0
48.62, 97, 43, 69, P0
73.36, 94, 40, 69, P0
62.77, 94, 39, 69, P0
56.05, 97, 39, 69, P0
76.10, 99, 44, 69, P0
64.79, 98, 35, 69, P0
60.12, 93, 47, 69, P0
82.69, 93, 39, 69, P0
64.99, 99, 44, 69, P0
74.37, 99, 42, 69, P0
79.31, 99, 37, 69, P0
56.05, 98, 44, 69, P0
53.60, 99, 43, 70, P0
71.01, 94, 38, 69, P0
66.82, 99, 41, 69, P0
53.60, 99, 43, 69, P0
79.89, 97, 34, 69, P0
67.35, 98, 47, 69, P0
50.07, 98, 43, 70, P0
67.36, 94, 40, 69, P0
77.48, 91, 38, 69, P0
61.37, 69, 36, 69, P0
55.18, 99, 42, 69, P0
90.02, 99, 41, 69, P0
77.10, 94, 33, 69, P0
72.74, 99, 47, 69, P0
75.76, 95, 39, 69, P0
72.88, 99, 41, 69, P0
66.00, 99, 44, 69, P0
93.09, 99, 37, 69, P0
76.67, 98, 44, 69, P0
94.94, 94, 37, 69, P0
77.15, 94, 39, 69, P0
52.45, 99, 41, 69, P0
66.48, 99, 39, 69, P0
68.75, 88, 32, 69, P0
67.35, 98, 47, 69, P0
49.26, 87, 37, 69, P0
81.13, 84, 38, 69, P0
63.74, 89, 35, 69, P0
75.47, 98, 41, 69, P0
89.02, 99, 44, 69, P0
59.00, 99, 38, 69, P0
46.59, 97, 42, 69, P0
75.66, 94, 39, 69, P0
70.76, 93, 37, 69, P0
60.92, 98, 41, 69, P0
66.48, 99, 42, 69, P0
66.48, 98, 36, 69, P0
46.81, 99, 46, 69, P0
70.48, 95, 38, 69, P0
68.60, 99, 41, 69, P0
48.91, 99, 45, 69, P0
62.97, 98, 36, 69, P0
66.24, 99, 48, 69, P0
40.82, 89, 37, 69, P0
74.37, 99, 43, 69, P0
70.96, 92, 41, 69, P0
49.00, 99, 42, 69, P0
66.96, 99, 40, 69, P0
61.27, 98, 42, 69, P0
79.54, 99, 44, 69, P0
