power.draw [W], utilization.gpu [%], utilization.memory [%], temperature.gpu, pstate
31.03, 6, 0, 67, P0
73.22, 98, 45, 69, P0
61.39, 99, 47, 68, P0
99.07, 88, 37, 69, P0
55.81, 37, 18, 69, P0
67.06, 60, 28, 69, P0
61.00, 77, 35, 69, P0
59.79, 95, 40, 69, P0
66.26, 99, 41, 69, P0
69.62, 95, 37, 69, P0
62.21, 97, 35, 69, P0
62.98, 98, 35, 69, P0
40.60, 98, 47, 69, P0
68.66, 78, 30, 69, P0
75.66, 80, 31, 70, P0
70.34, 85, 38, 69, P0
74.27, 97, 40, 69, P0
67.61, 98, 43, 69, P0
75.28, 99, 45, 70, P0
63.56, 99, 38, 69, P0
80.93, 98, 35, 69, P0
63.27, 97, 35, 69, P0
54.82, 98, 42, 69, P0
60.81, 99, 47, 69, P0
86.17, 80, 34, 70, P0
73.03, 57, 22, 69, P0
76.81, 63, 30, 70, P0
65.54, 93, 39, 69, P0
72.45, 98, 44, 69, P0
82.12, 99, 41, 69, P0
62.73, 95, 33, 70, P0
63.79, 99, 37, 69, P0
72.07, 97, 39, 69, P0
40.02, 87, 44, 69, P0
74.28, 76, 30, 69, P0
63.90, 76, 30, 70, P0
70.63, 72, 26, 70, P0
66.17, 59, 29, 70, P0
82.50, 90, 38, 70, P0
65.82, 98, 42, 70, P0
47.88, 99, 44, 70, P0
67.31, 99, 37, 70, P0
68.76, 98, 36, 70, P0
73.89, 98, 47, 69, P0
88.03, 91, 38, 69, P0
71.35, 74, 31, 69, P0
72.45, 76, 36, 70, P0
70.77, 84, 37, 69, P0
67.46, 98, 42, 69, P0
76.33, 98, 41, 70, P0
57.87, 99, 41, 69, P0
55.85, 98, 36, 69, P0
84.32, 99, 41, 70, P0
77.15, 97, 35, 69, P0
39.95, 97, 46, 70, P0
71.15, 81, 32, 70, P0
80.35, 54, 21, 70, P0
62.16, 79, 38, 69, P0
69.04, 98, 41, 69, P0
54.82, 98, 42, 70, P0
81.70, 98, 35, 69, P0
76.67, 98, 45, 69, P0
63.74, 100, 44, 69, P0
50.33, 96, 41, 69, P0
51.32, 93, 36, 70, P0
64.04, 94, 38, 70, P0
75.66, 95, 35, 70, P0
67.69, 90, 31, 70, P0
72.31, 92, 34, 70, P0
64.62, 99, 39, 70, P0
76.10, 92, 32, 70, P0
71.49, 90, 35, 70, P0
71.93, 77, 26, 70, P0
69.04, 92, 34, 70, P0
79.50, 90, 31, 70, P0
62.64, 94, 34, 70, P0
61.91, 91, 36, 70, P0
59.92, 100, 43, 70, P0
55.56, 100, 38, 70, P0
73.12, 99, 37, 69, P0
63.68, 99, 36, 70, P0
60.69, 99, 36, 69, P0
73.75, 92, 35, 70, P0
65.71, 99, 38, 70, P0
63.64, 99, 39, 70, P0
81.65, 98, 39, 70, P0
54.92, 99, 43, 70, P0
72.21, 99, 41, 69, P0
53.35, 98, 45, 69, P0
80.45, 100, 41, 69, P0
76.29, 100, 39, 69, P0
79.01, 94, 36, 69, P0
56.76, 99, 38, 69, P0
51.35, 99, 38, 70, P0
70.34, 99, 40, 70, P0
66.77, 90, 41, 70, P0
78.40, 100, 45, 70, P0
77.72, 100, 40, 70, P0
80.98, 100, 37, 70, P0
73.94, 100, 35, 70, P0
76.67, 99, 32, 70, P0
84.99, 99, 30, 70, P0
67.88, 99, 33, 69, P0
75.18, 98, 39, 70, P0
73.75, 98, 38, 70, P0
58.67, 99, 41, 70, P0
56.72, 99, 40, 70, P0
78.83, 99, 41, 70, P0
72.45, 99, 45, 70, P0
58.75, 99, 46, 69, P0
61.52, 100, 45, 69, P0
76.10, 99, 35, 69, P0
73.60, 99, 38, 69, P0
65.14, 98, 41, 69, P0
49.00, 99, 41, 69, P0
43.91, 99, 44, 70, P0
94.50, 100, 45, 70, P0
69.38, 100, 43, 70, P0
68.56, 92, 34, 70, P0
66.17, 92, 37, 70, P0
60.91, 80, 28, 70, P0
73.03, 95, 35, 70, P0
70.59, 89, 32, 70, P0
68.95, 93, 36, 70, P0
73.41, 98, 41, 70, P0
60.87, 100, 42, 70, P0
67.02, 99, 39, 70, P0
66.30, 99, 38, 70, P0
65.62, 99, 37, 69, P0
67.54, 99, 40, 70, P0
74.94, 89, 37, 70, P0
78.93, 100, 42, 70, P0
62.83, 100, 39, 70, P0
62.56, 97, 37, 70, P0
81.80, 99, 37, 70, P0
79.20, 98, 37, 70, P0
68.51, 99, 37, 69, P0
51.97, 99, 39, 70, P0
79.59, 99, 39, 69, P0
55.47, 99, 42, 69, P0
48.97, 98, 44, 70, P0
79.54, 97, 34, 70, P0
65.48, 98, 42, 70, P0
74.46, 96, 45, 69, P0
40.12, 95, 40, 69, P0
56.81, 63, 24, 69, P0
81.87, 53, 19, 70, P0
