power.draw [W], utilization.gpu [%], utilization.memory [%], temperature.gpu, pstate
31.03, 0, 0, 67, P0
57.23, 92, 42, 68, P0
68.85, 78, 32, 69, P0
61.79, 55, 28, 70, P0
67.03, 80, 37, 69, P0
63.98, 96, 40, 69, P0
63.02, 97, 44, 69, P0
68.75, 99, 40, 69, P0
76.96, 98, 36, 69, P0
64.85, 99, 37, 69, P0
55.24, 95, 43, 69, P0
69.67, 99, 46, 69, P0
67.23, 81, 33, 70, P0
68.32, 58, 27, 69, P0
74.51, 77, 36, 70, P0
48.75, 96, 41, 70, P0
80.35, 99, 42, 70, P0
85.74, 99, 41, 70, P0
54.38, 98, 35, 69, P0
75.57, 98, 47, 69, P0
72.79, 90, 36, 70, P0
72.89, 91, 39, 70, P0
63.79, 96, 39, 69, P0
70.19, 94, 40, 70, P0
78.87, 98, 42, 70, P0
62.48, 99, 40, 70, P0
69.81, 97, 36, 70, P0
56.84, 99, 47, 70, P0
41.37, 85, 36, 69, P0
59.27, 86, 34, 70, P0
71.83, 81, 35, 70, P0
76.86, 61, 24, 70, P0
66.50, 98, 44, 70, P0
59.79, 91, 40, 69, P0
75.52, 99, 42, 70, P0
58.25, 98, 34, 70, P0
43.98, 98, 47, 70, P0
73.37, 88, 35, 70, P0
68.80, 91, 39, 70, P0
67.36, 78, 36, 70, P0
51.81, 98, 40, 70, P0
53.12, 99, 40, 70, P0
91.03, 98, 34, 70, P0
75.09, 96, 45, 70, P0
57.52, 99, 48, 69, P0
66.40, 89, 37, 70, P0
75.95, 96, 43, 70, P0
52.58, 98, 41, 70, P0
44.63, 99, 44, 70, P0
93.58, 98, 34, 71, P0
67.26, 98, 47, 70, P0
72.21, 87, 36, 69, P0
72.60, 99, 47, 70, P0
84.55, 89, 36, 70, P0
68.43, 66, 34, 70, P0
77.34, 82, 36, 70, P0
75.57, 96, 44, 70, P0
84.13, 99, 42, 70, P0
61.68, 98, 36, 70, P0
77.91, 98, 44, 70, P0
81.45, 90, 36, 70, P0
74.32, 91, 39, 70, P0
72.84, 98, 40, 70, P0
50.20, 99, 44, 70, P0
73.46, 99, 37, 70, P0
54.66, 98, 45, 70, P0
50.10, 99, 45, 70, P0
40.63, 81, 32, 70, P0
71.01, 83, 39, 70, P0
76.43, 80, 32, 70, P0
65.96, 73, 35, 70, P0
65.00, 88, 37, 70, P0
70.24, 99, 45, 71, P0
69.33, 99, 37, 70, P0
66.21, 97, 44, 70, P0
102.72, 99, 46, 70, P0
80.87, 86, 35, 70, P0
