power.draw [W], utilization.gpu [%], utilization.memory [%], temperature.gpu, pstate
30.94, 9, 0, 67, P0
55.01, 97, 42, 68, P0
64.86, 97, 41, 68, P0
93.54, 64, 23, 69, P0
62.89, 85, 38, 69, P0
73.65, 79, 36, 69, P0
63.37, 98, 44, 68, P0
71.54, 99, 41, 69, P0
66.78, 98, 37, 69, P0
74.08, 98, 47, 69, P0
42.89, 81, 34, 69, P0
85.12, 72, 29, 69, P0
63.41, 94, 38, 69, P0
76.29, 98, 43, 69, P0
57.13, 99, 44, 69, P0
65.67, 99, 38, 69, P0
74.85, 98, 37, 69, P0
67.65, 99, 36, 69, P0
72.93, 97, 40, 68, P0
89.75, 99, 46, 69, P0
73.56, 89, 36, 69, P0
68.66, 99, 44, 69, P0
64.23, 82, 36, 69, P0
80.44, 98, 43, 69, P0
72.31, 99, 37, 69, P0
77.63, 97, 36, 69, P0
66.35, 97, 44, 69, P0
63.65, 99, 47, 69, P0
85.31, 71, 30, 69, P0
73.36, 85, 35, 69, P0
63.75, 78, 36, 69, P0
75.09, 98, 41, 69, P0
58.10, 99, 45, 69, P0
89.06, 98, 36, 70, P0
77.34, 98, 45, 69, P0
48.27, 99, 44, 69, P0
75.14, 84, 33, 69, P0
77.05, 99, 45, 69, P0
70.39, 87, 37, 69, P0
67.99, 81, 36, 69, P0
49.69, 96, 41, 69, P0
72.69, 99, 41, 69, P0
71.06, 99, 38, 69, P0
53.89, 98, 44, 69, P0
45.11, 93, 44, 69, P0
74.04, 87, 35, 69, P0
66.54, 89, 38, 69, P0
69.24, 98, 40, 69, P0
53.22, 98, 42, 69, P0
68.81, 97, 37, 69, P0
65.96, 98, 43, 69, P0
76.33, 98, 47, 69, P0
44.51, 84, 35, 69, P0
77.34, 69, 28, 69, P0
90.99, 85, 40, 69, P0
69.24, 90, 39, 69, P0
49.33, 98, 42, 69, P0
77.72, 98, 36, 69, P0
75.23, 99, 39, 69, P0
73.17, 99, 37, 70, P0
58.67, 98, 41, 69, P0
81.68, 95, 40, 69, P0
94.63, 47, 18, 69, P0
62.73, 78, 33, 69, P0
62.35, 98, 40, 70, P0
67.03, 98, 44, 69, P0
84.79, 99, 41, 70, P0
72.55, 97, 37, 69, P0
68.42, 98, 44, 69, P0
55.11, 99, 47, 70, P0
57.19, 85, 34, 70, P0
76.53, 99, 44, 69, P0
72.21, 98, 41, 70, P0
71.11, 98, 41, 69, P0
66.17, 98, 43, 69, P0
62.06, 97, 44, 69, P0
65.48, 99, 41, 69, P0
68.14, 94, 34, 70, P0
67.80, 96, 36, 69, P0
76.33, 98, 39, 69, P0
73.89, 99, 38, 69, P0
69.38, 99, 37, 69, P0
77.86, 98, 37, 69, P0
68.22, 97, 35, 69, P0
76.48, 94, 35, 69, P0
79.68, 98, 35, 69, P0
49.97, 91, 43, 69, P0
74.18, 98, 45, 69, P0
60.39, 79, 32, 69, P0
53.57, 66, 28, 69, P0
67.55, 80, 34, 69, P0
70.83, 58, 22, 70, P0
71.83, 59, 29, 69, P0
71.83, 66, 33, 69, P0
57.29, 87, 38, 69, P0
74.99, 96, 40, 69, P0
79.78, 97, 41, 69, P0
88.12, 51, 26, 70, P0
78.68, 99, 40, 69, P0
49.49, 98, 36, 69, P0
86.79, 99, 40, 69, P0
68.95, 99, 36, 69, P0
78.82, 94, 36, 69, P0
75.81, 97, 37, 69, P0
64.23, 97, 44, 69, P0
39.93, 98, 46, 69, P0
55.01, 95, 41, 69, P0
57.10, 83, 36, 69, P0
102.92, 59, 23, 70, P0
59.83, 48, 19, 69, P0
59.60, 61, 25, 69, P0
96.79, 77, 36, 69, P0
73.56, 56, 31, 69, P0
66.98, 73, 35, 69, P0
62.35, 77, 37, 69, P0
63.50, 78, 37, 69, P0
54.09, 82, 37, 69, P0
57.67, 93, 40, 69, P0
67.26, 97, 43, 69, P0
68.51, 97, 43, 69, P0
67.89, 99, 37, 69, P0
78.11, 99, 43, 69, P0
72.45, 87, 31, 69, P0
76.43, 96, 35, 69, P0
54.38, 95, 40, 69, P0
54.28, 96, 41, 69, P0
39.76, 96, 46, 69, P0
54.15, 87, 41, 69, P0
66.59, 98, 45, 69, P0
78.20, 75, 29, 69, P0
84.22, 86, 40, 69, P0
67.65, 98, 41, 69, P0
45.76, 99, 44, 69, P0
56.98, 98, 41, 70, P0
81.50, 98, 36, 69, P0
64.33, 98, 38, 69, P0
70.58, 94, 33, 69, P0
63.56, 98, 43, 69, P0
76.72, 98, 46, 69, P0
42.53, 99, 44, 69, P0
40.89, 86, 35, 69, P0
68.10, 63, 33, 70, P0
76.10, 83, 32, 69, P0
75.38, 98, 44, 69, P0
51.42, 95, 39, 69, P0
65.38, 98, 43, 69, P0
69.66, 99, 36, 69, P0
77.15, 98, 35, 69, P0
49.30, 99, 47, 69, P0
63.17, 98, 44, 69, P0
57.77, 91, 34, 70, P0
87.31, 89, 34, 69, P0
74.46, 94, 35, 69, P0
70.48, 90, 32, 69, P0
73.36, 91, 35, 70, P0
74.27, 84, 37, 70, P0
79.21, 95, 40, 69, P0
56.43, 100, 41, 69, P0
75.71, 99, 38, 69, P0
58.03, 99, 36, 70, P0
58.42, 99, 38, 70, P0
71.06, 93, 39, 69, P0
77.10, 100, 41, 70, P0
58.48, 99, 37, 70, P0
64.46, 85, 34, 70, P0
68.56, 81, 34, 70, P0
80.88, 97, 37, 70, P0
58.03, 99, 36, 69, P0
60.54, 96, 37, 70, P0
80.54, 99, 37, 69, P0
77.53, 99, 40, 69, P0
62.68, 99, 43, 69, P0
48.30, 100, 44, 70, P0
75.76, 99, 41, 69, P0
73.89, 99, 35, 70, P0
63.31, 98, 33, 70, P0
78.25, 99, 32, 70, P0
73.79, 99, 32, 70, P0
80.79, 99, 36, 70, P0
81.51, 97, 38, 70, P0
60.15, 99, 34, 70, P0
70.44, 99, 33, 70, P0
51.00, 99, 31, 70, P0
75.23, 98, 31, 70, P0
73.26, 99, 37, 69, P0
63.75, 99, 41, 69, P0
51.55, 99, 41, 69, P0
66.73, 99, 45, 69, P0
69.46, 99, 45, 69, P0
54.31, 99, 45, 69, P0
47.85, 100, 45, 69, P0
55.05, 99, 39, 69, P0
91.08, 91, 34, 70, P0
64.23, 90, 33, 70, P0
71.30, 92, 34, 70, P0
69.86, 94, 35, 70, P0
73.32, 94, 39, 70, P0
69.66, 100, 43, 70, P0
67.99, 100, 38, 69, P0
77.87, 99, 37, 70, P0
63.97, 93, 35, 69, P0
64.31, 94, 37, 70, P0
62.06, 99, 42, 70, P0
75.09, 100, 41, 70, P0
55.99, 100, 38, 70, P0
79.92, 99, 37, 70, P0
64.89, 90, 34, 70, P0
75.52, 99, 38, 70, P0
64.46, 92, 35, 70, P0
68.32, 90, 33, 70, P0
60.21, 99, 38, 70, P0
78.40, 99, 38, 69, P0
57.01, 99, 41, 69, P0
55.47, 99, 41, 69, P0
77.82, 99, 39, 69, P0
65.14, 99, 43, 69, P0
52.77, 100, 44, 69, P0
78.92, 100, 40, 69, P0
61.79, 100, 38, 69, P0
51.03, 99, 36, 69, P0
74.85, 99, 33, 70, P0
72.93, 99, 31, 70, P0
75.62, 100, 41, 70, P0
77.53, 100, 41, 70, P0
93.65, 97, 36, 69, P0
80.41, 100, 37, 69, P0
65.48, 99, 33, 70, P0
73.98, 99, 32, 69, P0
72.21, 97, 36, 70, P0
63.45, 98, 48, 69, P0
68.47, 91, 40, 69, P0
73.89, 65, 26, 69, P0
67.99, 70, 35, 69, P0
59.12, 97, 41, 69, P0
73.12, 98, 43, 70, P0
78.44, 99, 37, 70, P0
65.73, 98, 35, 69, P0
58.77, 97, 39, 69, P0
77.29, 85, 39, 70, P0
74.90, 99, 43, 69, P0
42.27, 86, 37, 69, P0
56.98, 72, 34, 70, P0
65.92, 98, 41, 70, P0
73.60, 71, 34, 69, P0
76.81, 80, 35, 69, P0
48.85, 95, 41, 69, P0
91.64, 99, 44, 70, P0
70.77, 99, 37, 69, P0
75.18, 98, 36, 69, P0
50.55, 98, 47, 69, P0
41.11, 99, 44, 69, P0
79.73, 72, 28, 70, P0
68.84, 93, 42, 69, P0
70.68, 79, 34, 70, P0
74.80, 98, 41, 69, P0
75.90, 99, 43, 70, P0
64.67, 97, 34, 70, P0
68.66, 97, 36, 69, P0
73.60, 98, 47, 69, P0
41.69, 99, 45, 69, P0
67.74, 77, 33, 69, P0
64.44, 84, 36, 70, P0
72.93, 96, 40, 69, P0
54.38, 98, 44, 69, P0
49.62, 99, 36, 69, P0
70.48, 98, 43, 70, P0
64.14, 99, 41, 69, P0
77.91, 98, 35, 69, P0
40.41, 98, 46, 69, P0
73.99, 94, 40, 70, P0
60.37, 80, 31, 69, P0
75.47, 73, 36, 70, P0
