power.draw [W], utilization.gpu [%], utilization.memory [%], temperature.gpu, pstate
37.97, 9, 0, 67, P0
71.92, 85, 37, 68, P0
70.73, 87, 38, 68, P0
75.81, 97, 41, 68, P0
44.40, 99, 44, 68, P0
78.40, 98, 36, 68, P0
57.49, 99, 48, 68, P0
91.25, 76, 31, 68, P0
80.54, 92, 40, 69, P0
66.77, 98, 41, 68, P0
73.26, 99, 40, 68, P0
56.94, 92, 42, 68, P0
72.88, 99, 37, 68, P0
68.26, 98, 45, 68, P0
74.04, 95, 40, 69, P0
61.27, 87, 35, 68, P0
62.97, 98, 41, 68, P0
67.69, 96, 43, 68, P0
71.68, 99, 38, 68, P0
61.75, 98, 44, 68, P0
45.46, 97, 43, 68, P0
83.65, 82, 32, 68, P0
60.89, 98, 42, 68, P0
78.88, 98, 43, 68, P0
74.46, 99, 38, 69, P0
71.30, 98, 38, 68, P0
48.04, 99, 44, 68, P0
69.62, 71, 26, 68, P0
62.44, 99, 43, 68, P0
78.97, 98, 44, 68, P0
49.39, 99, 37, 68, P0
67.44, 99, 42, 68, P0
73.02, 98, 37, 68, P0
78.77, 98, 49, 68, P0
70.29, 90, 38, 68, P0
72.06, 99, 44, 68, P0
48.01, 97, 41, 68, P0
71.73, 99, 43, 69, P0
66.19, 99, 36, 68, P0
49.94, 98, 44, 68, P0
74.61, 91, 37, 68, P0
71.15, 93, 38, 68, P0
72.54, 98, 41, 68, P0
45.94, 99, 44, 68, P0
86.67, 98, 36, 69, P0
54.70, 98, 44, 69, P0
41.52, 98, 41, 69, P0
74.90, 92, 37, 68, P0
58.96, 98, 41, 68, P0
66.48, 98, 43, 68, P0
89.81, 97, 34, 69, P0
81.74, 96, 40, 68, P0
73.94, 97, 39, 68, P0
81.02, 99, 46, 69, P0
80.79, 90, 37, 68, P0
51.77, 99, 41, 69, P0
62.14, 98, 44, 69, P0
72.26, 99, 38, 68, P0
52.45, 98, 45, 68, P0
71.64, 91, 37, 69, P0
65.43, 90, 39, 68, P0
63.16, 98, 40, 69, P0
45.85, 99, 44, 68, P0
75.38, 98, 35, 68, P0
72.54, 98, 47, 68, P0
64.14, 91, 41, 68, P0
71.73, 99, 44, 68, P0
77.92, 98, 42, 68, P0
77.82, 99, 36, 69, P0
72.11, 98, 38, 69, P0
55.56, 98, 47, 68, P0
78.92, 92, 38, 69, P0
72.84, 99, 40, 68, P0
69.32, 97, 43, 69, P0
50.33, 97, 40, 68, P0
77.72, 98, 42, 69, P0
73.26, 98, 39, 68, P0
96.69, 99, 47, 68, P0
77.72, 87, 36, 69, P0
56.30, 97, 41, 68, P0
57.17, 98, 44, 68, P0
80.26, 99, 39, 69, P0
73.36, 96, 42, 68, P0
55.59, 94, 40, 68, P0
72.60, 90, 36, 69, P0
71.68, 93, 40, 69, P0
78.59, 98, 43, 68, P0
74.94, 99, 37, 69, P0
56.78, 98, 43, 68, P0
80.36, 89, 40, 68, P0
101.86, 94, 38, 69, P0
73.22, 93, 38, 69, P0
56.88, 99, 41, 68, P0
64.50, 92, 42, 69, P0
69.71, 98, 36, 68, P0
54.06, 98, 44, 68, P0
72.79, 98, 42, 69, P0
62.23, 90, 36, 69, P0
71.30, 90, 37, 69, P0
54.89, 98, 44, 68, P0
85.46, 99, 38, 69, P0
55.66, 92, 41, 68, P0
51.00, 99, 45, 69, P0
73.22, 92, 36, 69, P0
62.14, 84, 38, 68, P0
58.13, 98, 41, 69, P0
65.43, 99, 41, 69, P0
71.20, 98, 35, 69, P0
54.15, 99, 48, 68, P0
83.07, 82, 33, 69, P0
71.83, 99, 43, 68, P0
64.46, 98, 43, 69, P0
64.31, 88, 39, 68, P0
82.84, 99, 45, 69, P0
52.90, 99, 37, 69, P0
41.69, 98, 47, 69, P0
75.18, 90, 37, 69, P0
67.44, 75, 34, 69, P0
77.53, 98, 41, 68, P0
81.08, 98, 44, 69, P0
85.90, 98, 36, 69, P0
77.25, 98, 46, 68, P0
41.42, 99, 44, 69, P0
74.90, 84, 34, 69, P0
58.32, 98, 41, 69, P0
55.66, 99, 44, 69, P0
89.00, 97, 37, 68, P0
79.11, 98, 43, 69, P0
54.09, 93, 39, 69, P0
69.47, 94, 37, 69, P0
72.64, 91, 37, 69, P0
52.99, 99, 44, 69, P0
75.81, 98, 42, 69, P0
73.55, 99, 37, 69, P0
56.91, 98, 44, 68, P0
69.91, 99, 45, 69, P0
67.64, 94, 38, 69, P0
82.13, 98, 40, 69, P0
79.39, 99, 43, 69, P0
71.87, 99, 37, 69, P0
74.99, 98, 42, 68, P0
46.78, 99, 47, 69, P0
77.10, 76, 30, 69, P0
64.74, 99, 45, 68, P0
74.85, 98, 43, 68, P0
73.26, 99, 37, 69, P0
77.05, 98, 43, 69, P0
72.79, 90, 37, 69, P0
77.96, 93, 37, 69, P0
59.35, 98, 40, 69, P0
80.17, 99, 41, 68, P0
75.47, 99, 43, 69, P0
55.85, 98, 36, 69, P0
42.39, 98, 44, 69, P0
69.24, 93, 37, 69, P0
57.30, 93, 39, 69, P0
58.13, 98, 40, 68, P0
73.75, 99, 44, 69, P0
74.42, 97, 35, 69, P0
76.48, 87, 42, 68, P0
