power.draw [W], utilization.gpu [%], utilization.memory [%], temperature.gpu, pstate
30.94, 2, 0, 67, P0
73.22, 98, 46, 68, P0
50.75, 99, 44, 69, P0
76.19, 72, 28, 69, P0
79.15, 62, 29, 69, P0
63.39, 73, 35, 69, P0
70.68, 98, 41, 69, P0
62.50, 99, 42, 69, P0
73.94, 98, 36, 69, P0
58.87, 98, 48, 69, P0
62.79, 97, 39, 68, P0
74.75, 99, 47, 69, P0
70.82, 88, 35, 69, P0
73.99, 91, 41, 69, P0
69.72, 89, 38, 69, P0
65.59, 97, 43, 69, P0
70.58, 99, 38, 69, P0
83.55, 98, 37, 69, P0
78.20, 98, 42, 69, P0
54.82, 94, 39, 69, P0
68.82, 79, 33, 69, P0
78.68, 67, 35, 69, P0
68.70, 79, 36, 69, P0
76.24, 93, 39, 69, P0
80.40, 98, 42, 69, P0
62.98, 97, 34, 69, P0
69.19, 97, 38, 69, P0
67.61, 99, 47, 69, P0
64.67, 91, 38, 69, P0
84.13, 77, 31, 70, P0
84.17, 68, 35, 70, P0
66.82, 83, 33, 69, P0
66.63, 76, 37, 70, P0
46.66, 89, 38, 69, P0
86.84, 99, 42, 69, P0
77.63, 98, 34, 69, P0
62.60, 97, 42, 69, P0
60.58, 97, 46, 69, P0
50.33, 99, 44, 69, P0
76.33, 90, 37, 70, P0
75.28, 65, 35, 70, P0
62.25, 71, 34, 69, P0
77.87, 98, 41, 69, P0
76.24, 99, 40, 70, P0
72.16, 98, 36, 70, P0
74.90, 98, 44, 70, P0
47.62, 99, 47, 69, P0
42.34, 76, 32, 69, P0
100.15, 85, 34, 70, P0
83.31, 67, 35, 70, P0
61.10, 98, 39, 69, P0
63.27, 88, 39, 70, P0
64.29, 98, 40, 69, P0
91.31, 99, 44, 70, P0
78.39, 98, 35, 70, P0
42.15, 97, 42, 69, P0
55.34, 96, 47, 70, P0
72.41, 91, 38, 70, P0
65.71, 98, 44, 70, P0
62.43, 87, 36, 70, P0
74.56, 99, 37, 69, P0
63.69, 99, 38, 70, P0
78.54, 99, 38, 70, P0
71.54, 99, 38, 70, P0
62.29, 99, 40, 69, P0
79.69, 100, 44, 69, P0
62.20, 100, 40, 69, P0
54.73, 100, 38, 70, P0
65.14, 100, 38, 70, P0
51.45, 99, 38, 69, P0
62.52, 99, 40, 70, P0
76.86, 99, 43, 70, P0
70.43, 100, 42, 70, P0
83.17, 100, 39, 70, P0
83.95, 99, 40, 70, P0
64.52, 100, 37, 70, P0
73.65, 99, 34, 70, P0
78.87, 99, 32, 70, P0
55.82, 99, 31, 70, P0
72.45, 99, 33, 70, P0
52.80, 99, 40, 70, P0
73.94, 99, 42, 70, P0
73.02, 99, 43, 69, P0
66.06, 99, 45, 70, P0
