power.draw [W], utilization.gpu [%], utilization.memory [%], temperature.gpu, pstate
40.48, 9, 0, 67, P0
70.58, 94, 39, 68, P0
74.32, 99, 41, 68, P0
61.27, 98, 43, 68, P0
56.14, 99, 38, 69, P0
73.12, 98, 42, 69, P0
46.23, 95, 40, 68, P0
71.40, 94, 39, 69, P0
67.88, 98, 42, 69, P0
48.23, 98, 40, 68, P0
60.69, 99, 43, 69, P0
59.48, 98, 37, 68, P0
43.55, 98, 49, 69, P0
72.07, 93, 38, 69, P0
68.89, 98, 42, 69, P0
50.90, 98, 43, 69, P0
69.32, 99, 38, 69, P0
74.70, 98, 44, 68, P0
74.66, 99, 44, 69, P0
72.21, 93, 38, 69, P0
64.27, 98, 41, 68, P0
66.87, 98, 45, 69, P0
69.71, 98, 35, 69, P0
69.13, 98, 44, 69, P0
55.02, 99, 43, 68, P0
70.91, 94, 38, 69, P0
73.41, 98, 40, 69, P0
68.07, 99, 43, 68, P0
90.86, 98, 43, 69, P0
75.18, 99, 37, 69, P0
75.09, 98, 47, 69, P0
68.99, 91, 38, 69, P0
65.75, 91, 41, 69, P0
70.76, 98, 39, 69, P0
55.95, 99, 44, 69, P0
71.01, 98, 36, 69, P0
47.75, 98, 48, 68, P0
73.51, 91, 40, 69, P0
68.84, 99, 44, 69, P0
65.38, 96, 40, 69, P0
80.07, 99, 41, 69, P0
86.57, 98, 35, 68, P0
74.80, 99, 46, 68, P0
77.91, 89, 36, 69, P0
76.00, 99, 44, 69, P0
65.37, 98, 41, 69, P0
81.46, 99, 37, 69, P0
70.19, 98, 43, 69, P0
55.56, 99, 44, 68, P0
75.09, 99, 46, 69, P0
74.18, 63, 26, 69, P0
69.51, 91, 42, 69, P0
58.52, 98, 41, 68, P0
75.90, 99, 42, 69, P0
77.20, 98, 38, 69, P0
69.19, 99, 48, 69, P0
75.14, 92, 37, 69, P0
73.60, 99, 41, 68, P0
49.97, 98, 44, 68, P0
67.79, 99, 37, 69, P0
76.53, 96, 43, 69, P0
57.07, 99, 46, 69, P0
73.75, 94, 37, 69, P0
68.17, 98, 41, 69, P0
55.02, 99, 45, 68, P0
91.18, 98, 35, 69, P0
79.40, 99, 48, 69, P0
67.74, 94, 38, 69, P0
74.03, 99, 42, 69, P0
81.84, 96, 43, 69, P0
75.95, 98, 41, 69, P0
97.29, 98, 36, 69, P0
73.75, 98, 44, 68, P0
68.37, 97, 41, 69, P0
69.04, 94, 38, 69, P0
79.97, 98, 39, 69, P0
53.61, 99, 45, 69, P0
66.68, 98, 35, 69, P0
42.29, 98, 48, 68, P0
70.77, 91, 37, 69, P0
78.58, 99, 45, 69, P0
60.60, 98, 42, 68, P0
50.42, 99, 37, 69, P0
67.40, 98, 42, 69, P0
42.46, 94, 38, 69, P0
72.74, 94, 41, 69, P0
41.33, 88, 35, 69, P0
60.25, 99, 44, 68, P0
97.55, 98, 36, 69, P0
76.29, 98, 47, 69, P0
83.88, 98, 44, 69, P0
72.55, 90, 35, 69, P0
65.81, 90, 40, 69, P0
74.80, 98, 41, 68, P0
78.15, 99, 43, 69, P0
51.74, 98, 36, 69, P0
52.48, 99, 48, 69, P0
70.39, 94, 38, 69, P0
76.05, 99, 41, 69, P0
45.94, 88, 39, 68, P0
