power.draw [W], utilization.gpu [%], utilization.memory [%], temperature.gpu, pstate
41.81, 9, 0, 68, P0
103.29, 86, 34, 69, P0
77.15, 99, 40, 69, P0
70.19, 98, 43, 69, P0
66.44, 99, 38, 69, P0
71.49, 99, 41, 69, P0
57.20, 95, 37, 69, P0
67.74, 98, 49, 69, P0
61.08, 93, 38, 69, P0
79.11, 99, 41, 69, P0
68.98, 99, 43, 69, P0
90.95, 99, 37, 69, P0
75.33, 98, 43, 69, P0
53.70, 97, 44, 69, P0
72.93, 90, 36, 69, P0
66.00, 98, 40, 69, P0
76.00, 99, 43, 69, P0
64.22, 90, 39, 69, P0
64.08, 98, 35, 69, P0
54.44, 98, 45, 69, P0
53.89, 94, 44, 69, P0
65.54, 92, 36, 69, P0
73.22, 98, 40, 69, P0
53.09, 99, 43, 69, P0
51.00, 99, 39, 69, P0
73.94, 98, 42, 69, P0
75.18, 98, 35, 69, P0
94.47, 98, 47, 69, P0
79.06, 87, 35, 69, P0
69.13, 91, 40, 69, P0
78.97, 98, 41, 69, P0
64.18, 99, 41, 69, P0
67.64, 97, 36, 69, P0
44.88, 99, 47, 69, P0
76.33, 72, 29, 69, P0
62.62, 97, 43, 69, P0
65.91, 98, 40, 69, P0
74.99, 99, 38, 69, P0
57.11, 98, 38, 69, P0
41.69, 99, 48, 69, P0
68.56, 94, 38, 69, P0
76.43, 89, 37, 69, P0
68.65, 98, 41, 69, P0
50.04, 99, 37, 70, P0
59.35, 98, 42, 69, P0
75.42, 97, 46, 69, P0
47.79, 91, 40, 69, P0
71.49, 95, 39, 69, P0
61.95, 90, 36, 69, P0
55.47, 98, 40, 69, P0
88.20, 99, 44, 70, P0
70.05, 98, 35, 70, P0
62.39, 88, 42, 69, P0
78.34, 92, 37, 69, P0
63.54, 89, 40, 69, P0
77.44, 99, 41, 69, P0
66.82, 99, 42, 70, P0
65.43, 97, 37, 69, P0
51.65, 99, 48, 69, P0
60.33, 89, 37, 69, P0
61.56, 96, 42, 69, P0
69.09, 98, 41, 70, P0
45.17, 99, 41, 69, P0
84.42, 98, 39, 70, P0
75.47, 99, 48, 69, P0
69.91, 93, 37, 70, P0
