Testing loss: 0.0026662435848265886, mse: 0.0002939878322649747, bin_accuracy: 0.9961922764778137
Testing loss: 0.002478930866345763, mse: 0.0002966549654956907, bin_accuracy: 0.99616938829422
Testing loss: 0.002426655264571309, mse: 0.0002931846247520298, bin_accuracy: 0.9961571097373962
Testing loss: 0.0025849041994661093, mse: 0.0003093000268563628, bin_accuracy: 0.9961605072021484
Testing loss: 0.002779622795060277, mse: 0.00032319591264240444, bin_accuracy: 0.9961685538291931
Testing loss: 0.002638384001329541, mse: 0.000308519956888631, bin_accuracy: 0.9961802363395691
Testing loss: 0.002721071243286133, mse: 0.0003290084423497319, bin_accuracy: 0.9961655735969543
Testing loss: 0.0030783081892877817, mse: 0.0003242905077058822, bin_accuracy: 0.9961740970611572
Testing loss: 0.0029257743153721094, mse: 0.000309730734443292, bin_accuracy: 0.9961960911750793
Testing loss: 0.0028482561465352774, mse: 0.0004062893276568502, bin_accuracy: 0.9960658550262451
Testing loss: 0.003102324204519391, mse: 0.0003329689207021147, bin_accuracy: 0.9961693286895752
Testing loss: 0.002634491538628936, mse: 0.00029923542751930654, bin_accuracy: 0.9961798787117004
Testing loss: 0.002682317281141877, mse: 0.00030484350281767547, bin_accuracy: 0.9961576461791992
Testing loss: 0.0026134212967008352, mse: 0.0003089303500019014, bin_accuracy: 0.9961569309234619
Testing loss: 0.002717893337830901, mse: 0.0002981339057441801, bin_accuracy: 0.9961809515953064
Testing loss: 0.0023838405031710863, mse: 0.00031849127844907343, bin_accuracy: 0.9961397051811218
Testing loss: 0.002731053391471505, mse: 0.000319414451951161, bin_accuracy: 0.9961746335029602
Testing loss: 0.0027835729997605085, mse: 0.0003205639950465411, bin_accuracy: 0.9961630702018738
Testing loss: 0.002678726566955447, mse: 0.00031669027521274984, bin_accuracy: 0.9961598515510559
Testing loss: 0.002673526294529438, mse: 0.0003168820112477988, bin_accuracy: 0.9961559772491455
Testing loss: 0.002669058507308364, mse: 0.00031600179499946535, bin_accuracy: 0.9961526989936829
Testing loss: 0.002998402575030923, mse: 0.0003262881946284324, bin_accuracy: 0.9961883425712585
Testing loss: 0.0028389962390065193, mse: 0.0003209464193787426, bin_accuracy: 0.9961695671081543
Testing loss: 0.0027796879876405, mse: 0.0003054379776585847, bin_accuracy: 0.9961759448051453
Testing loss: 0.0025774354580789804, mse: 0.0002962779544759542, bin_accuracy: 0.996165931224823
Testing loss: 0.002915789373219013, mse: 0.000306816742522642, bin_accuracy: 0.9961848258972168
Testing loss: 0.0026290270034223795, mse: 0.0003091656253673136, bin_accuracy: 0.9961772561073303
Testing loss: 0.002532397862523794, mse: 0.0003023190365638584, bin_accuracy: 0.9961478114128113
Testing loss: 0.0029532508924603462, mse: 0.0003305055433884263, bin_accuracy: 0.9961437582969666
Testing loss: 0.0025247216690331697, mse: 0.0003034616820514202, bin_accuracy: 0.9961522221565247
Testing loss: 0.0029692777898162603, mse: 0.0003065190394409001, bin_accuracy: 0.9961791038513184
Testing loss: 0.0027909588534384966, mse: 0.0003321922558825463, bin_accuracy: 0.996131956577301
Testing loss: 0.0030253154691308737, mse: 0.0003238258941564709, bin_accuracy: 0.9961610436439514
Testing loss: 0.002597397891804576, mse: 0.0002987407788168639, bin_accuracy: 0.9961819648742676
Testing loss: 0.0028076134622097015, mse: 0.00030951719963923097, bin_accuracy: 0.9961571097373962
Testing loss: 0.002739613177254796, mse: 0.00032221651053987443, bin_accuracy: 0.9961389899253845
Testing loss: 0.0027853662613779306, mse: 0.00030001040431670845, bin_accuracy: 0.9961753487586975
Testing loss: 0.0026510998141020536, mse: 0.00029325313516892493, bin_accuracy: 0.9961668848991394
Testing loss: 0.0027404327411204576, mse: 0.0002942353312391788, bin_accuracy: 0.9961851239204407
Testing loss: 0.0024107552599161863, mse: 0.00031104584923014045, bin_accuracy: 0.9961102604866028
Testing loss: 0.0026450285222381353, mse: 0.0003389966441318393, bin_accuracy: 0.9961000084877014
Testing loss: 0.0027738919015973806, mse: 0.0003030373190995306, bin_accuracy: 0.9961662292480469
Testing loss: 0.002757035428658128, mse: 0.00031275380752049387, bin_accuracy: 0.996145486831665
Testing loss: 0.002445460297167301, mse: 0.00029189736233092844, bin_accuracy: 0.9961564540863037
Testing loss: 0.0027017563115805387, mse: 0.00029092986369505525, bin_accuracy: 0.9961764812469482
Testing loss: 0.0026455000042915344, mse: 0.0003142212808597833, bin_accuracy: 0.9961344599723816
Testing loss: 0.0028468789532780647, mse: 0.0003175624005962163, bin_accuracy: 0.9961564540863037
Testing loss: 0.002883282722905278, mse: 0.0002948278852272779, bin_accuracy: 0.9961654543876648
Testing loss: 0.0025663378182798624, mse: 0.0003093369596172124, bin_accuracy: 0.9961447715759277
Testing loss: 0.0028396937996149063, mse: 0.0003035997797269374, bin_accuracy: 0.9961661696434021
Testing loss: 0.0026922281831502914, mse: 0.0003024176403414458, bin_accuracy: 0.996164083480835
Testing loss: 0.003137388499453664, mse: 0.00038925811531953514, bin_accuracy: 0.9960804581642151
Testing loss: 0.0027263714000582695, mse: 0.00031751685310155153, bin_accuracy: 0.9961475729942322
Testing loss: 0.002834474667906761, mse: 0.00029182745493017137, bin_accuracy: 0.9961902499198914
Testing loss: 0.002416078932583332, mse: 0.00032920672674663365, bin_accuracy: 0.996145486831665
Testing loss: 0.0024710141588002443, mse: 0.0002886785368900746, bin_accuracy: 0.9961748719215393
Testing loss: 0.0025217130314558744, mse: 0.00029420419014059007, bin_accuracy: 0.9961650371551514
Testing loss: 0.0025654928758740425, mse: 0.0002916694793384522, bin_accuracy: 0.996165931224823
Testing loss: 0.0026335585862398148, mse: 0.0002903614949900657, bin_accuracy: 0.9961721897125244
Testing loss: 0.0025916520971804857, mse: 0.00028836564160883427, bin_accuracy: 0.9961684346199036
Testing loss: 0.0026030440349131823, mse: 0.0002887949231080711, bin_accuracy: 0.9961677193641663
Testing loss: 0.002670074813067913, mse: 0.0002958682307507843, bin_accuracy: 0.9961645007133484

