power.draw [W], utilization.gpu [%], utilization.memory [%], temperature.gpu, pstate
50.97, 98, 47, 69, P0
47.94, 99, 47, 70, P0
61.46, 97, 40, 69, P0
74.46, 99, 39, 69, P0
68.98, 98, 44, 70, P0
63.21, 94, 48, 69, P0
63.45, 99, 30, 70, P0
80.40, 94, 33, 70, P0
85.94, 87, 41, 69, P0
72.64, 97, 33, 70, P0
77.68, 97, 40, 70, P0
79.69, 99, 43, 69, P0
67.79, 93, 43, 69, P0
58.32, 97, 39, 70, P0
79.88, 99, 47, 69, P0
73.41, 98, 41, 69, P0
78.49, 99, 37, 69, P0
73.94, 98, 44, 70, P0
58.29, 95, 47, 69, P0
72.98, 99, 41, 70, P0
73.22, 94, 42, 69, P0
93.18, 98, 41, 70, P0
56.01, 99, 43, 69, P0
89.04, 99, 42, 70, P0
73.55, 99, 38, 70, P0
62.72, 98, 44, 70, P0
65.86, 95, 47, 70, P0
72.26, 98, 33, 69, P0
86.13, 94, 34, 70, P0
71.87, 87, 38, 70, P0
72.54, 97, 37, 70, P0
74.03, 96, 38, 70, P0
79.64, 99, 41, 69, P0
63.16, 93, 42, 70, P0
72.06, 97, 40, 70, P0
73.46, 100, 43, 69, P0
76.00, 99, 41, 69, P0
76.86, 99, 38, 69, P0
73.41, 98, 43, 70, P0
60.46, 95, 47, 70, P0
82.32, 99, 41, 70, P0
66.63, 92, 41, 69, P0
58.17, 97, 40, 70, P0
58.84, 99, 44, 69, P0
84.94, 98, 42, 69, P0
67.16, 99, 38, 70, P0
62.23, 98, 44, 69, P0
65.95, 94, 47, 70, P0
71.87, 99, 31, 69, P0
78.25, 94, 34, 70, P0
69.61, 85, 41, 70, P0
74.42, 97, 34, 70, P0
82.80, 97, 40, 70, P0
82.32, 99, 42, 69, P0
71.20, 92, 42, 69, P0
71.10, 98, 39, 70, P0
76.14, 99, 45, 69, P0
77.05, 98, 42, 70, P0
80.50, 99, 38, 70, P0
71.83, 96, 32, 69, P0
68.06, 96, 39, 69, P0
50.49, 99, 43, 70, P0
55.18, 95, 45, 69, P0
79.50, 98, 38, 69, P0
54.67, 99, 47, 69, P0
73.99, 97, 39, 70, P0
54.60, 99, 40, 70, P0
44.49, 98, 43, 69, P0
67.73, 93, 47, 70, P0
65.58, 99, 29, 70, P0
78.92, 92, 33, 70, P0
52.51, 84, 39, 69, P0
89.81, 97, 32, 70, P0
45.72, 96, 39, 69, P0
78.25, 99, 42, 69, P0
60.31, 96, 45, 69, P0
74.70, 97, 38, 69, P0
79.35, 98, 45, 70, P0
64.02, 97, 40, 70, P0
70.38, 87, 38, 70, P0
45.26, 97, 32, 69, P0
66.77, 97, 39, 70, P0
51.74, 99, 41, 69, P0
70.04, 96, 44, 69, P0
79.64, 97, 38, 69, P0
67.25, 99, 43, 69, P0
49.29, 97, 40, 69, P0
68.27, 99, 38, 69, P0
76.00, 99, 44, 69, P0
71.01, 94, 48, 70, P0
84.33, 99, 35, 70, P0
53.03, 91, 35, 69, P0
57.55, 93, 43, 70, P0
49.49, 97, 35, 69, P0
87.47, 98, 42, 69, P0
76.48, 98, 40, 69, P0
84.56, 97, 42, 69, P0
60.38, 94, 40, 70, P0
72.93, 94, 41, 69, P0
79.31, 91, 41, 70, P0
77.77, 97, 44, 70, P0
82.61, 97, 35, 70, P0
81.93, 98, 42, 70, P0
77.05, 98, 40, 69, P0
58.84, 97, 41, 69, P0
68.02, 97, 41, 69, P0
74.80, 98, 40, 69, P0
73.26, 96, 33, 69, P0
77.44, 87, 37, 69, P0
80.08, 99, 44, 70, P0
59.15, 94, 44, 69, P0
52.51, 99, 36, 69, P0
88.14, 92, 41, 70, P0
62.43, 98, 43, 69, P0
59.10, 98, 37, 69, P0
85.33, 98, 44, 69, P0
67.31, 99, 40, 69, P0
55.02, 97, 40, 70, P0
69.65, 96, 42, 69, P0
73.12, 98, 41, 70, P0
66.25, 89, 40, 70, P0
77.72, 98, 42, 69, P0
71.78, 98, 38, 69, P0
58.38, 98, 42, 70, P0
81.84, 99, 38, 69, P0
69.23, 97, 41, 69, P0
63.06, 95, 44, 69, P0
85.23, 98, 38, 69, P0
75.47, 95, 34, 69, P0
77.82, 87, 37, 69, P0
80.21, 99, 43, 70, P0
64.22, 94, 45, 69, P0
81.56, 99, 35, 70, P0
60.48, 92, 39, 69, P0
53.44, 97, 44, 69, P0
52.64, 98, 35, 69, P0
81.55, 98, 42, 69, P0
62.52, 99, 40, 69, P0
89.81, 97, 42, 69, P0
55.66, 97, 40, 69, P0
57.17, 100, 33, 69, P0
76.67, 91, 35, 70, P0
55.66, 94, 43, 69, P0
74.03, 97, 35, 70, P0
60.75, 98, 42, 70, P0
49.94, 99, 40, 69, P0
51.32, 97, 42, 69, P0
63.00, 97, 40, 70, P0
53.09, 98, 41, 69, P0
67.54, 97, 37, 69, P0
67.73, 89, 35, 69, P0
78.78, 98, 47, 70, P0
67.73, 93, 45, 70, P0
66.87, 99, 34, 70, P0
57.24, 91, 37, 69, P0
52.71, 97, 44, 69, P0
49.94, 97, 34, 69, P0
83.51, 98, 42, 69, P0
73.98, 98, 39, 69, P0
86.09, 96, 42, 69, P0
59.00, 97, 40, 70, P0
66.39, 98, 41, 69, P0
78.59, 92, 38, 70, P0
84.04, 98, 43, 70, P0
78.20, 98, 35, 69, P0
71.97, 98, 42, 69, P0
52.32, 99, 40, 69, P0
59.13, 97, 43, 69, P0
55.37, 97, 41, 69, P0
50.62, 98, 41, 69, P0
67.25, 97, 36, 69, P0
67.58, 88, 35, 69, P0
92.19, 99, 46, 70, P0
69.27, 93, 44, 69, P0
83.95, 99, 35, 69, P0
75.38, 92, 41, 69, P0
52.26, 98, 42, 69, P0
50.13, 97, 35, 69, P0
92.48, 98, 43, 69, P0
75.71, 99, 41, 69, P0
77.63, 96, 41, 70, P0
65.33, 97, 41, 69, P0
65.67, 98, 41, 69, P0
57.75, 91, 40, 69, P0
89.63, 98, 43, 69, P0
78.88, 97, 35, 69, P0
62.81, 98, 42, 69, P0
52.61, 98, 40, 69, P0
58.52, 97, 42, 69, P0
59.44, 97, 40, 69, P0
60.21, 98, 41, 69, P0
52.06, 97, 38, 69, P0
65.47, 91, 35, 69, P0
54.44, 99, 47, 70, P0
72.21, 93, 47, 69, P0
68.60, 99, 35, 70, P0
56.49, 91, 34, 69, P0
42.08, 89, 41, 70, P0
86.84, 98, 35, 69, P0
46.98, 98, 40, 69, P0
81.22, 99, 41, 70, P0
66.96, 96, 44, 69, P0
70.62, 94, 49, 69, P0
65.23, 99, 33, 70, P0
79.97, 93, 35, 70, P0
74.51, 87, 40, 69, P0
75.09, 97, 34, 69, P0
67.35, 97, 39, 70, P0
52.26, 98, 40, 69, P0
56.62, 96, 44, 69, P0
74.03, 97, 38, 69, P0
49.10, 98, 44, 69, P0
65.81, 97, 39, 69, P0
68.84, 99, 39, 69, P0
44.62, 98, 43, 69, P0
73.84, 94, 49, 69, P0
71.25, 99, 34, 70, P0
78.06, 92, 35, 69, P0
48.01, 86, 41, 70, P0
87.53, 97, 34, 69, P0
46.13, 98, 40, 69, P0
70.82, 99, 40, 70, P0
59.92, 96, 44, 69, P0
64.79, 94, 48, 70, P0
60.27, 99, 34, 69, P0
80.79, 92, 36, 70, P0
79.45, 87, 39, 69, P0
75.86, 97, 33, 69, P0
72.79, 97, 39, 69, P0
53.19, 98, 41, 69, P0
61.27, 96, 45, 69, P0
76.43, 97, 38, 69, P0
52.16, 98, 45, 69, P0
74.13, 97, 40, 69, P0
72.06, 100, 40, 69, P0
78.19, 99, 43, 69, P0
67.97, 94, 49, 69, P0
74.61, 99, 31, 70, P0
88.20, 93, 34, 69, P0
78.87, 86, 39, 69, P0
73.98, 97, 32, 69, P0
79.68, 97, 40, 70, P0
82.80, 99, 42, 70, P0
62.33, 96, 46, 69, P0
67.10, 94, 49, 69, P0
72.93, 99, 30, 69, P0
72.21, 93, 32, 69, P0
67.57, 87, 40, 69, P0
74.70, 97, 32, 69, P0
78.40, 97, 40, 69, P0
86.53, 99, 44, 69, P0
75.90, 93, 43, 69, P0
51.29, 97, 39, 69, P0
50.52, 99, 47, 69, P0
91.11, 98, 41, 70, P0
67.93, 99, 38, 69, P0
91.72, 97, 43, 69, P0
69.04, 94, 48, 70, P0
96.25, 99, 28, 69, P0
50.65, 94, 34, 69, P0
54.51, 88, 39, 69, P0
72.64, 97, 37, 69, P0
65.85, 96, 38, 69, P0
68.12, 98, 40, 69, P0
82.80, 93, 41, 69, P0
80.07, 95, 47, 69, P0
72.98, 98, 32, 69, P0
76.72, 94, 32, 69, P0
70.67, 88, 37, 69, P0
42.39, 96, 36, 70, P0
70.76, 95, 38, 69, P0
65.37, 99, 43, 69, P0
44.88, 91, 40, 69, P0
49.65, 98, 40, 69, P0
62.00, 99, 43, 69, P0
50.62, 98, 43, 69, P0
63.60, 99, 39, 69, P0
81.74, 98, 43, 69, P0
72.40, 95, 47, 69, P0
73.75, 98, 32, 69, P0
47.17, 94, 34, 69, P0
67.98, 87, 37, 69, P0
65.70, 97, 36, 69, P0
69.23, 96, 37, 69, P0
62.33, 99, 43, 69, P0
83.03, 93, 41, 69, P0
72.88, 94, 47, 69, P0
55.43, 98, 33, 69, P0
80.36, 94, 34, 69, P0
70.05, 87, 38, 69, P0
52.06, 97, 36, 69, P0
74.51, 96, 39, 69, P0
53.67, 99, 42, 69, P0
45.36, 93, 40, 69, P0
48.62, 98, 41, 69, P0
67.50, 100, 43, 69, P0
52.03, 98, 42, 70, P0
69.03, 99, 39, 69, P0
76.57, 98, 44, 69, P0
69.09, 95, 47, 69, P0
87.43, 98, 32, 69, P0
48.04, 94, 34, 69, P0
57.55, 88, 39, 69, P0
71.97, 97, 38, 69, P0
70.91, 96, 38, 69, P0
58.03, 99, 42, 69, P0
80.26, 93, 41, 69, P0
71.82, 95, 48, 69, P0
54.60, 98, 33, 69, P0
80.07, 95, 34, 69, P0
69.46, 87, 40, 69, P0
57.20, 97, 36, 69, P0
73.41, 97, 40, 69, P0
54.54, 99, 42, 69, P0
45.75, 94, 42, 69, P0
72.54, 98, 39, 69, P0
68.40, 99, 45, 69, P0
54.63, 98, 41, 70, P0
66.96, 99, 37, 69, P0
81.03, 98, 44, 69, P0
68.70, 94, 47, 69, P0
87.24, 98, 31, 69, P0
48.33, 94, 34, 69, P0
59.87, 88, 37, 69, P0
68.84, 97, 37, 69, P0
56.53, 96, 42, 69, P0
83.47, 99, 41, 69, P0
69.66, 98, 42, 69, P0
72.50, 96, 46, 70, P0
76.14, 98, 37, 69, P0
76.82, 96, 34, 69, P0
69.65, 88, 36, 69, P0
95.57, 98, 43, 70, P0
58.81, 94, 44, 69, P0
77.15, 99, 37, 70, P0
67.44, 92, 41, 69, P0
54.12, 98, 42, 70, P0
51.84, 97, 37, 69, P0
84.62, 98, 44, 69, P0
61.75, 99, 39, 70, P0
90.86, 97, 40, 69, P0
57.17, 97, 42, 70, P0
58.32, 98, 41, 69, P0
81.65, 96, 33, 69, P0
75.52, 88, 38, 69, P0
76.19, 99, 43, 69, P0
59.48, 94, 43, 70, P0
49.55, 99, 40, 69, P0
51.22, 96, 40, 70, P0
63.60, 97, 42, 70, P0
52.99, 98, 42, 69, P0
64.22, 96, 33, 69, P0
65.08, 88, 37, 69, P0
84.47, 99, 42, 70, P0
71.29, 93, 43, 69, P0
63.87, 99, 36, 70, P0
58.17, 92, 41, 69, P0
53.28, 98, 42, 70, P0
49.46, 98, 37, 69, P0
80.12, 98, 43, 69, P0
63.83, 98, 39, 70, P0
83.61, 97, 40, 69, P0
62.66, 97, 42, 70, P0
55.95, 98, 41, 69, P0
82.41, 96, 35, 70, P0
54.60, 87, 37, 70, P0
74.61, 99, 44, 70, P0
64.41, 98, 44, 70, P0
62.52, 99, 39, 69, P0
59.19, 97, 42, 69, P0
75.81, 97, 41, 70, P0
66.44, 99, 40, 69, P0
54.44, 96, 32, 69, P0
66.44, 88, 37, 69, P0
75.23, 99, 45, 70, P0
73.94, 94, 44, 70, P0
51.00, 99, 36, 70, P0
45.82, 92, 41, 69, P0
56.21, 98, 42, 69, P0
49.20, 98, 37, 69, P0
80.55, 98, 44, 69, P0
62.23, 99, 39, 69, P0
81.84, 97, 40, 70, P0
65.95, 97, 43, 70, P0
49.49, 98, 42, 69, P0
83.13, 96, 33, 70, P0
54.99, 88, 37, 70, P0
75.38, 99, 44, 69, P0
60.56, 98, 43, 70, P0
62.97, 99, 40, 69, P0
62.14, 97, 40, 70, P0
82.08, 95, 41, 70, P0
65.14, 99, 40, 69, P0
42.78, 96, 34, 69, P0
68.84, 88, 37, 70, P0
41.52, 99, 47, 70, P0
71.97, 94, 46, 70, P0
73.60, 99, 33, 70, P0
74.90, 91, 38, 69, P0
52.80, 94, 43, 69, P0
71.78, 98, 35, 70, P0
58.94, 98, 41, 70, P0
83.61, 99, 40, 70, P0
69.66, 97, 42, 70, P0
61.12, 95, 39, 69, P0
63.06, 98, 42, 70, P0
59.89, 97, 38, 70, P0
68.36, 90, 35, 69, P0
69.57, 97, 35, 69, P0
67.25, 98, 42, 70, P0
50.71, 99, 41, 70, P0
51.19, 97, 42, 70, P0
76.86, 94, 39, 69, P0
51.97, 98, 41, 69, P0
48.91, 97, 37, 69, P0
74.32, 87, 36, 69, P0
43.46, 98, 47, 70, P0
73.36, 94, 45, 70, P0
81.80, 99, 34, 70, P0
65.00, 92, 38, 69, P0
44.59, 98, 43, 70, P0
80.02, 97, 34, 70, P0
63.83, 98, 42, 69, P0
55.66, 98, 40, 70, P0
74.66, 97, 40, 69, P0
72.40, 95, 41, 70, P0
87.22, 98, 42, 69, P0
47.36, 96, 33, 70, P0
54.22, 87, 38, 70, P0
72.16, 98, 37, 70, P0
68.75, 98, 44, 70, P0
66.63, 98, 39, 69, P0
53.51, 97, 40, 69, P0
72.54, 97, 42, 70, P0
64.66, 98, 43, 69, P0
53.83, 96, 34, 69, P0
74.08, 87, 37, 70, P0
71.01, 97, 35, 69, P0
