power.draw [W], utilization.gpu [%], utilization.memory [%], temperature.gpu, pstate
47.65, 99, 48, 69, P0
58.32, 99, 43, 70, P0
81.32, 98, 42, 70, P0
65.04, 99, 37, 70, P0
48.78, 99, 44, 70, P0
70.24, 94, 46, 69, P0
68.12, 99, 30, 69, P0
78.11, 94, 32, 70, P0
52.99, 87, 41, 69, P0
70.00, 97, 34, 69, P0
61.60, 97, 40, 70, P0
79.02, 99, 43, 69, P0
59.73, 95, 43, 69, P0
61.95, 98, 39, 69, P0
81.46, 99, 29, 70, P0
73.22, 94, 35, 70, P0
79.02, 88, 41, 70, P0
75.66, 97, 37, 69, P0
71.87, 96, 38, 69, P0
52.32, 99, 42, 69, P0
79.94, 92, 41, 70, P0
55.28, 98, 41, 69, P0
50.33, 99, 43, 70, P0
86.05, 98, 44, 69, P0
77.05, 99, 38, 69, P0
85.31, 98, 43, 70, P0
65.71, 96, 46, 70, P0
86.90, 98, 35, 69, P0
46.40, 96, 34, 70, P0
59.58, 88, 36, 70, P0
68.32, 98, 43, 70, P0
69.28, 94, 43, 70, P0
53.83, 99, 36, 70, P0
50.97, 92, 42, 70, P0
83.18, 97, 42, 69, P0
52.54, 99, 40, 69, P0
61.79, 96, 33, 69, P0
73.70, 87, 36, 70, P0
56.78, 99, 42, 69, P0
74.42, 93, 43, 70, P0
69.28, 99, 36, 70, P0
74.66, 92, 42, 69, P0
53.77, 98, 43, 69, P0
64.79, 98, 36, 70, P0
68.56, 98, 44, 70, P0
82.03, 99, 40, 69, P0
75.81, 97, 41, 69, P0
65.43, 97, 41, 70, P0
77.72, 99, 41, 70, P0
85.57, 97, 33, 70, P0
64.99, 88, 37, 70, P0
74.32, 99, 44, 69, P0
71.44, 94, 44, 69, P0
50.68, 99, 36, 69, P0
81.21, 92, 41, 69, P0
70.48, 98, 43, 69, P0
51.93, 99, 41, 69, P0
70.24, 97, 33, 70, P0
62.43, 88, 38, 69, P0
67.31, 99, 45, 69, P0
60.89, 94, 45, 70, P0
78.06, 99, 35, 70, P0
65.81, 91, 37, 70, P0
94.43, 97, 44, 69, P0
81.41, 98, 35, 69, P0
82.81, 98, 42, 70, P0
57.40, 99, 39, 70, P0
59.83, 97, 42, 69, P0
54.31, 97, 40, 69, P0
66.00, 98, 42, 69, P0
71.49, 97, 40, 70, P0
71.05, 93, 36, 70, P0
71.97, 99, 47, 70, P0
74.22, 94, 46, 70, P0
69.61, 99, 34, 69, P0
59.29, 91, 35, 70, P0
55.95, 89, 41, 69, P0
53.86, 99, 43, 70, P0
79.11, 97, 39, 70, P0
64.70, 100, 38, 70, P0
77.97, 99, 44, 70, P0
71.44, 94, 49, 69, P0
85.67, 99, 34, 69, P0
46.88, 92, 36, 70, P0
69.32, 87, 40, 70, P0
66.10, 97, 32, 70, P0
70.34, 97, 40, 70, P0
53.86, 99, 43, 69, P0
65.75, 95, 43, 70, P0
71.15, 98, 39, 70, P0
74.80, 99, 44, 69, P0
75.28, 99, 43, 70, P0
70.04, 99, 39, 69, P0
88.68, 99, 43, 70, P0
62.33, 96, 45, 70, P0
86.42, 98, 33, 70, P0
47.29, 92, 41, 69, P0
59.38, 98, 42, 69, P0
84.52, 100, 41, 69, P0
46.42, 98, 43, 69, P0
78.63, 99, 39, 70, P0
59.63, 96, 40, 69, P0
74.27, 97, 44, 69, P0
81.74, 99, 41, 69, P0
66.54, 96, 33, 70, P0
76.86, 88, 37, 70, P0
62.62, 98, 43, 70, P0
68.54, 94, 44, 69, P0
51.97, 99, 36, 70, P0
73.36, 93, 41, 70, P0
76.82, 98, 42, 69, P0
53.73, 98, 37, 70, P0
74.80, 98, 43, 70, P0
66.10, 99, 40, 69, P0
54.35, 97, 41, 70, P0
66.00, 97, 41, 70, P0
73.89, 99, 42, 69, P0
72.64, 92, 39, 70, P0
71.49, 98, 42, 70, P0
72.93, 98, 35, 70, P0
81.55, 98, 43, 70, P0
75.71, 99, 40, 69, P0
55.12, 97, 42, 69, P0
68.98, 97, 41, 70, P0
73.36, 99, 42, 69, P0
75.09, 97, 33, 69, P0
76.86, 89, 37, 70, P0
87.86, 99, 46, 70, P0
70.86, 94, 46, 70, P0
90.05, 100, 33, 70, P0
54.12, 92, 35, 70, P0
54.54, 93, 42, 70, P0
49.26, 98, 35, 70, P0
77.92, 98, 41, 70, P0
61.79, 99, 40, 70, P0
80.98, 96, 44, 70, P0
69.90, 97, 39, 69, P0
55.76, 99, 44, 70, P0
77.10, 92, 36, 70, P0
75.42, 87, 41, 70, P0
65.95, 97, 33, 69, P0
66.04, 97, 39, 70, P0
56.05, 99, 41, 69, P0
55.95, 96, 45, 69, P0
76.29, 97, 37, 69, P0
51.97, 98, 45, 69, P0
42.78, 97, 40, 70, P0
70.28, 99, 39, 69, P0
71.68, 99, 43, 69, P0
71.82, 94, 49, 70, P0
68.21, 99, 30, 70, P0
83.52, 93, 32, 69, P0
53.83, 87, 39, 69, P0
71.05, 97, 33, 70, P0
72.35, 97, 40, 70, P0
83.89, 99, 43, 70, P0
65.43, 95, 43, 69, P0
72.54, 98, 39, 69, P0
74.42, 99, 29, 70, P0
76.57, 94, 34, 70, P0
73.41, 88, 39, 70, P0
73.50, 97, 37, 70, P0
73.12, 96, 39, 70, P0
53.70, 99, 43, 70, P0
48.33, 93, 41, 70, P0
46.23, 98, 42, 69, P0
75.23, 100, 42, 70, P0
56.62, 98, 43, 69, P0
54.70, 99, 40, 69, P0
74.46, 99, 43, 70, P0
76.72, 96, 46, 70, P0
70.62, 98, 34, 69, P0
48.13, 95, 32, 70, P0
67.64, 88, 38, 70, P0
65.08, 97, 40, 70, P0
68.98, 95, 41, 70, P0
52.16, 100, 39, 69, P0
64.12, 92, 40, 69, P0
73.55, 96, 45, 70, P0
52.32, 98, 38, 69, P0
66.39, 96, 34, 69, P0
69.13, 88, 38, 69, P0
45.14, 97, 41, 70, P0
65.86, 95, 42, 69, P0
74.37, 99, 37, 70, P0
87.13, 92, 41, 69, P0
52.99, 98, 43, 70, P0
74.03, 98, 38, 70, P0
76.19, 98, 43, 70, P0
77.05, 99, 40, 70, P0
61.31, 97, 40, 70, P0
65.66, 97, 42, 70, P0
69.80, 99, 40, 70, P0
62.52, 96, 33, 70, P0
72.54, 88, 37, 70, P0
