power.draw [W], utilization.gpu [%], utilization.memory [%], temperature.gpu, pstate
39.90, 92, 39, 69, P0
50.71, 97, 37, 70, P0
93.89, 98, 44, 70, P0
78.20, 99, 39, 69, P0
82.89, 97, 41, 70, P0
64.70, 93, 44, 69, P0
86.04, 98, 35, 69, P0
47.91, 90, 38, 70, P0
71.00, 98, 43, 70, P0
75.90, 98, 35, 70, P0
60.98, 98, 43, 70, P0
52.51, 99, 40, 69, P0
52.03, 97, 42, 69, P0
73.07, 97, 40, 70, P0
51.07, 98, 41, 69, P0
63.43, 97, 34, 70, P0
75.38, 88, 36, 70, P0
69.37, 99, 45, 70, P0
71.05, 94, 44, 69, P0
62.72, 99, 35, 70, P0
53.80, 92, 40, 70, P0
53.86, 98, 43, 69, P0
50.39, 98, 35, 70, P0
79.07, 98, 42, 69, P0
58.03, 99, 41, 69, P0
83.33, 97, 42, 70, P0
69.09, 94, 45, 69, P0
70.19, 99, 34, 69, P0
48.52, 91, 35, 70, P0
93.66, 89, 42, 70, P0
72.93, 97, 33, 70, P0
72.79, 97, 40, 70, P0
50.23, 99, 41, 70, P0
84.04, 96, 45, 70, P0
54.15, 98, 39, 69, P0
56.91, 99, 47, 69, P0
75.62, 97, 40, 70, P0
78.30, 99, 40, 69, P0
89.14, 99, 43, 69, P0
66.10, 94, 48, 70, P0
87.62, 99, 29, 70, P0
57.11, 94, 33, 69, P0
83.47, 87, 41, 69, P0
76.72, 97, 34, 70, P0
63.74, 97, 40, 70, P0
61.52, 99, 41, 69, P0
89.48, 93, 42, 69, P0
66.87, 95, 47, 69, P0
56.05, 98, 33, 69, P0
76.38, 94, 34, 70, P0
63.45, 88, 38, 70, P0
55.95, 97, 37, 70, P0
74.18, 96, 38, 70, P0
58.64, 99, 42, 69, P0
50.39, 93, 41, 70, P0
47.46, 98, 40, 69, P0
62.14, 99, 43, 69, P0
43.26, 99, 44, 70, P0
68.50, 99, 38, 69, P0
72.78, 99, 43, 70, P0
78.97, 94, 47, 70, P0
57.53, 98, 32, 70, P0
62.72, 95, 31, 70, P0
76.19, 87, 38, 70, P0
75.66, 97, 40, 70, P0
70.19, 94, 43, 70, P0
81.12, 99, 39, 69, P0
62.91, 97, 41, 69, P0
59.32, 97, 44, 70, P0
54.99, 98, 42, 69, P0
68.79, 96, 33, 69, P0
59.29, 87, 37, 70, P0
79.83, 99, 44, 70, P0
66.39, 94, 44, 70, P0
52.99, 99, 35, 70, P0
50.26, 91, 39, 69, P0
46.33, 95, 44, 69, P0
79.78, 98, 36, 70, P0
55.85, 99, 41, 70, P0
53.96, 99, 39, 70, P0
60.06, 97, 41, 70, P0
75.90, 97, 40, 70, P0
81.93, 98, 43, 70, P0
66.14, 97, 40, 70, P0
69.90, 98, 38, 70, P0
72.93, 99, 45, 69, P0
71.44, 98, 41, 70, P0
49.75, 99, 39, 69, P0
50.33, 96, 44, 69, P0
74.90, 97, 38, 69, P0
53.96, 98, 45, 69, P0
70.71, 97, 39, 70, P0
58.17, 100, 39, 70, P0
45.26, 99, 43, 69, P0
75.86, 94, 49, 70, P0
82.56, 99, 33, 69, P0
78.11, 93, 36, 70, P0
83.37, 87, 40, 70, P0
80.65, 97, 33, 69, P0
78.92, 97, 39, 70, P0
79.74, 99, 42, 69, P0
61.75, 96, 45, 69, P0
68.98, 97, 38, 69, P0
73.17, 99, 46, 69, P0
74.70, 97, 39, 70, P0
78.20, 99, 41, 70, P0
73.89, 99, 44, 70, P0
71.63, 97, 40, 69, P0
69.61, 99, 43, 70, P0
55.50, 94, 44, 70, P0
55.56, 98, 39, 69, P0
48.52, 99, 47, 70, P0
78.78, 98, 41, 69, P0
62.62, 99, 37, 69, P0
83.23, 98, 44, 70, P0
66.87, 94, 46, 69, P0
84.10, 98, 31, 69, P0
46.62, 94, 35, 70, P0
58.42, 87, 37, 69, P0
69.61, 97, 36, 70, P0
73.36, 96, 41, 70, P0
53.38, 99, 41, 70, P0
67.12, 92, 41, 70, P0
85.52, 98, 41, 69, P0
48.52, 100, 42, 69, P0
79.78, 98, 44, 70, P0
77.15, 99, 38, 69, P0
85.70, 97, 42, 69, P0
69.09, 94, 43, 70, P0
96.02, 99, 37, 70, P0
50.81, 92, 42, 70, P0
56.49, 98, 44, 70, P0
70.86, 98, 36, 70, P0
75.42, 97, 42, 70, P0
54.15, 99, 40, 69, P0
59.13, 97, 42, 69, P0
