power.draw [W], utilization.gpu [%], utilization.memory [%], temperature.gpu, pstate
40.48, 70, 30, 70, P0
50.13, 98, 44, 71, P0
77.92, 97, 39, 71, P0
63.64, 98, 40, 71, P0
85.71, 99, 45, 71, P0
61.27, 94, 49, 71, P0
88.52, 99, 34, 71, P0
47.33, 92, 35, 71, P0
53.28, 87, 40, 71, P0
75.47, 97, 34, 71, P0
62.97, 97, 40, 71, P0
50.13, 99, 40, 71, P0
53.03, 96, 44, 71, P0
66.54, 97, 38, 71, P0
57.01, 98, 43, 70, P0
83.03, 97, 39, 71, P0
77.05, 99, 39, 71, P0
71.30, 99, 44, 70, P0
72.26, 94, 48, 71, P0
67.54, 99, 35, 71, P0
58.81, 92, 35, 71, P0
53.67, 97, 39, 70, P0
49.68, 98, 43, 71, P0
84.52, 97, 39, 71, P0
63.49, 100, 38, 71, P0
80.65, 99, 44, 71, P0
69.42, 94, 48, 71, P0
81.93, 99, 34, 71, P0
56.14, 92, 34, 71, P0
71.30, 87, 41, 71, P0
77.44, 97, 34, 71, P0
69.03, 98, 41, 71, P0
52.80, 99, 39, 71, P0
62.33, 97, 43, 70, P0
56.30, 97, 39, 70, P0
66.10, 98, 43, 71, P0
80.79, 97, 40, 71, P0
70.62, 99, 38, 71, P0
70.86, 99, 45, 71, P0
69.61, 94, 46, 71, P0
72.74, 99, 35, 71, P0
60.41, 97, 43, 70, P0
54.38, 97, 40, 70, P0
50.42, 98, 43, 70, P0
86.00, 97, 40, 71, P0
68.90, 96, 37, 71, P0
79.78, 99, 46, 71, P0
69.80, 93, 46, 71, P0
89.96, 99, 35, 71, P0
54.54, 92, 33, 71, P0
82.13, 91, 42, 71, P0
77.53, 97, 35, 71, P0
81.84, 98, 42, 71, P0
58.03, 99, 39, 70, P0
59.87, 97, 42, 70, P0
56.72, 97, 40, 70, P0
62.83, 98, 42, 71, P0
74.56, 97, 39, 71, P0
69.04, 94, 36, 71, P0
73.31, 99, 46, 71, P0
74.22, 93, 45, 71, P0
78.20, 99, 34, 70, P0
61.64, 97, 42, 70, P0
52.16, 97, 40, 70, P0
50.13, 98, 42, 70, P0
74.90, 97, 40, 71, P0
69.51, 92, 36, 71, P0
98.76, 99, 47, 70, P0
70.96, 94, 46, 71, P0
