power.draw [W], utilization.gpu [%], utilization.memory [%], temperature.gpu, pstate
40.36, 98, 46, 68, P0
49.65, 99, 46, 69, P0
45.07, 96, 40, 69, P0
74.70, 99, 39, 69, P0
61.27, 98, 44, 69, P0
69.32, 94, 48, 69, P0
68.02, 98, 30, 69, P0
75.81, 94, 33, 69, P0
84.47, 86, 41, 69, P0
71.25, 97, 32, 69, P0
54.88, 98, 42, 69, P0
75.47, 99, 38, 69, P0
78.15, 99, 44, 69, P0
66.92, 92, 47, 69, P0
76.38, 98, 32, 69, P0
92.08, 93, 34, 69, P0
51.03, 81, 39, 69, P0
96.85, 99, 47, 69, P0
50.52, 97, 41, 69, P0
65.58, 99, 40, 69, P0
60.12, 98, 44, 69, P0
74.99, 94, 48, 69, P0
84.25, 99, 32, 69, P0
50.81, 92, 33, 69, P0
86.04, 88, 41, 69, P0
78.54, 97, 34, 69, P0
69.57, 98, 40, 69, P0
54.63, 99, 40, 69, P0
58.46, 96, 44, 69, P0
61.81, 97, 39, 69, P0
67.21, 99, 45, 69, P0
77.92, 97, 39, 69, P0
77.05, 99, 43, 69, P0
47.17, 99, 44, 69, P0
70.09, 94, 49, 69, P0
65.85, 99, 30, 69, P0
69.18, 93, 34, 69, P0
75.14, 51, 26, 69, P0
62.93, 99, 34, 69, P0
73.60, 92, 34, 69, P0
73.26, 88, 42, 69, P0
85.30, 97, 35, 69, P0
81.45, 98, 42, 69, P0
81.07, 98, 41, 69, P0
62.79, 95, 40, 69, P0
60.79, 96, 42, 69, P0
82.03, 98, 42, 69, P0
66.39, 95, 34, 69, P0
73.46, 78, 34, 69, P0
42.05, 96, 43, 69, P0
72.99, 78, 35, 69, P0
52.06, 99, 41, 69, P0
65.62, 92, 41, 69, P0
70.00, 97, 40, 69, P0
76.62, 99, 44, 69, P0
76.96, 98, 41, 69, P0
67.99, 99, 39, 69, P0
44.24, 98, 43, 69, P0
75.47, 93, 48, 69, P0
60.72, 98, 40, 69, P0
49.69, 96, 44, 68, P0
53.22, 97, 39, 69, P0
53.28, 98, 43, 68, P0
67.07, 97, 40, 69, P0
89.12, 77, 31, 69, P0
50.49, 99, 44, 69, P0
73.75, 92, 42, 69, P0
75.23, 99, 36, 69, P0
74.75, 90, 41, 69, P0
43.79, 98, 43, 68, P0
48.62, 100, 43, 69, P0
85.68, 98, 43, 69, P0
58.25, 99, 38, 69, P0
78.63, 98, 44, 69, P0
64.99, 94, 49, 69, P0
75.81, 99, 35, 69, P0
75.66, 90, 35, 69, P0
55.11, 87, 41, 68, P0
58.67, 96, 35, 69, P0
91.41, 97, 36, 69, P0
59.79, 75, 31, 69, P0
50.39, 99, 44, 69, P0
72.59, 93, 43, 69, P0
78.53, 99, 37, 69, P0
78.53, 92, 42, 68, P0
41.37, 98, 43, 69, P0
78.97, 99, 38, 69, P0
49.29, 98, 43, 69, P0
49.17, 99, 38, 69, P0
74.27, 98, 42, 69, P0
78.40, 96, 45, 69, P0
67.41, 98, 38, 69, P0
76.76, 95, 34, 69, P0
58.10, 87, 36, 69, P0
70.54, 98, 43, 69, P0
63.08, 94, 42, 69, P0
52.61, 99, 39, 69, P0
53.73, 92, 42, 69, P0
81.51, 98, 44, 69, P0
53.09, 98, 37, 68, P0
73.70, 98, 43, 69, P0
58.58, 88, 37, 69, P0
43.33, 99, 44, 69, P0
59.38, 94, 44, 69, P0
80.21, 99, 35, 69, P0
70.62, 91, 39, 69, P0
84.45, 98, 44, 69, P0
80.88, 98, 35, 69, P0
80.45, 98, 42, 69, P0
60.44, 99, 41, 69, P0
58.29, 97, 42, 69, P0
77.92, 97, 39, 69, P0
65.71, 98, 44, 69, P0
80.17, 97, 40, 69, P0
73.12, 99, 40, 69, P0
41.81, 99, 43, 69, P0
67.65, 94, 48, 69, P0
74.61, 99, 28, 69, P0
79.21, 94, 33, 69, P0
101.42, 97, 39, 69, P0
80.36, 99, 44, 69, P0
48.52, 98, 44, 69, P0
63.97, 99, 39, 69, P0
80.50, 98, 42, 69, P0
65.71, 95, 47, 69, P0
68.56, 98, 37, 69, P0
70.04, 96, 34, 69, P0
68.79, 90, 38, 69, P0
60.22, 98, 43, 69, P0
71.97, 94, 43, 69, P0
70.39, 99, 38, 69, P0
76.72, 92, 42, 69, P0
82.61, 98, 43, 68, P0
50.13, 98, 37, 69, P0
71.00, 98, 44, 69, P0
60.21, 99, 40, 69, P0
54.57, 97, 41, 69, P0
66.87, 97, 40, 69, P0
70.86, 98, 41, 69, P0
77.77, 97, 38, 69, P0
71.49, 95, 43, 69, P0
70.28, 98, 35, 69, P0
71.44, 98, 42, 69, P0
49.10, 99, 39, 69, P0
51.65, 97, 43, 69, P0
78.11, 97, 39, 69, P0
62.14, 98, 44, 69, P0
43.94, 97, 40, 69, P0
73.79, 100, 41, 69, P0
63.93, 99, 44, 69, P0
67.54, 94, 49, 69, P0
69.23, 99, 29, 69, P0
72.59, 94, 33, 69, P0
59.96, 87, 42, 69, P0
69.23, 97, 33, 69, P0
82.89, 97, 40, 69, P0
78.20, 99, 42, 68, P0
54.95, 93, 42, 69, P0
54.35, 98, 41, 69, P0
49.20, 99, 44, 69, P0
60.54, 98, 44, 69, P0
67.40, 87, 37, 69, P0
77.15, 97, 39, 69, P0
70.24, 95, 43, 69, P0
74.85, 99, 40, 69, P0
80.17, 92, 41, 68, P0
53.77, 98, 43, 69, P0
68.21, 98, 38, 69, P0
75.90, 98, 44, 69, P0
80.79, 99, 40, 69, P0
58.19, 97, 41, 69, P0
55.76, 97, 40, 69, P0
52.64, 98, 41, 69, P0
86.71, 97, 40, 69, P0
71.01, 95, 37, 69, P0
51.29, 99, 45, 69, P0
69.66, 94, 50, 69, P0
68.61, 99, 32, 70, P0
83.23, 92, 35, 69, P0
51.65, 87, 39, 69, P0
96.59, 96, 32, 69, P0
53.54, 97, 40, 69, P0
84.08, 99, 39, 69, P0
44.71, 99, 43, 69, P0
71.72, 94, 48, 69, P0
73.65, 99, 29, 69, P0
71.97, 94, 33, 69, P0
71.63, 86, 38, 69, P0
70.48, 97, 37, 68, P0
73.70, 96, 38, 69, P0
57.49, 99, 43, 69, P0
51.39, 93, 40, 68, P0
55.21, 98, 42, 69, P0
53.44, 99, 44, 68, P0
63.16, 99, 44, 69, P0
63.53, 99, 38, 69, P0
82.55, 98, 43, 69, P0
66.29, 95, 47, 69, P0
86.90, 98, 33, 69, P0
47.27, 95, 31, 69, P0
58.61, 87, 38, 69, P0
67.83, 97, 39, 69, P0
72.26, 98, 43, 69, P0
59.10, 99, 38, 69, P0
73.70, 98, 43, 69, P0
73.60, 95, 46, 69, P0
78.06, 98, 38, 69, P0
64.50, 95, 33, 69, P0
70.62, 87, 38, 69, P0
47.91, 97, 42, 69, P0
67.83, 94, 43, 69, P0
81.22, 99, 37, 69, P0
72.06, 92, 42, 69, P0
81.12, 98, 43, 69, P0
58.61, 98, 37, 69, P0
86.09, 98, 43, 69, P0
72.74, 99, 40, 69, P0
69.61, 97, 41, 69, P0
56.53, 97, 41, 69, P0
67.58, 98, 41, 69, P0
75.57, 97, 36, 69, P0
67.02, 90, 35, 69, P0
71.15, 99, 48, 69, P0
74.08, 98, 42, 69, P0
65.91, 97, 39, 69, P0
56.98, 97, 42, 69, P0
75.86, 97, 40, 68, P0
68.16, 98, 43, 68, P0
43.26, 97, 40, 69, P0
72.26, 100, 39, 69, P0
70.67, 99, 44, 69, P0
63.93, 93, 49, 69, P0
66.73, 99, 32, 69, P0
79.40, 93, 32, 69, P0
53.19, 87, 39, 69, P0
67.83, 97, 32, 69, P0
58.48, 97, 40, 69, P0
78.83, 99, 41, 69, P0
77.63, 96, 46, 69, P0
74.03, 98, 39, 69, P0
73.79, 99, 48, 69, P0
75.52, 98, 42, 69, P0
69.31, 99, 38, 69, P0
85.61, 99, 43, 69, P0
73.94, 96, 38, 69, P0
67.29, 99, 41, 69, P0
54.12, 93, 40, 69, P0
54.06, 98, 40, 69, P0
52.90, 99, 44, 69, P0
56.34, 98, 43, 69, P0
57.20, 99, 39, 69, P0
59.67, 98, 42, 69, P0
63.74, 96, 45, 69, P0
68.27, 98, 38, 69, P0
87.62, 96, 34, 69, P0
63.94, 87, 36, 69, P0
73.94, 98, 43, 68, P0
80.79, 94, 45, 69, P0
83.03, 99, 36, 68, P0
71.05, 92, 41, 68, P0
53.99, 98, 43, 68, P0
49.00, 98, 35, 69, P0
82.80, 98, 42, 69, P0
63.98, 89, 35, 69, P0
80.88, 99, 48, 69, P0
66.19, 93, 46, 69, P0
74.61, 99, 35, 69, P0
48.23, 92, 34, 69, P0
71.00, 90, 42, 69, P0
62.39, 97, 35, 69, P0
67.11, 98, 41, 69, P0
52.71, 99, 40, 68, P0
53.77, 96, 45, 68, P0
81.79, 97, 38, 69, P0
81.93, 98, 45, 68, P0
73.26, 97, 39, 68, P0
75.81, 100, 39, 69, P0
67.46, 99, 43, 69, P0
64.18, 94, 48, 69, P0
83.36, 98, 28, 69, P0
55.21, 94, 33, 68, P0
77.87, 87, 40, 69, P0
78.11, 97, 38, 69, P0
59.83, 96, 38, 69, P0
65.91, 99, 40, 68, P0
39.71, 99, 43, 69, P0
66.29, 94, 48, 69, P0
58.90, 99, 34, 69, P0
74.37, 92, 36, 69, P0
71.24, 87, 39, 69, P0
76.05, 97, 33, 69, P0
72.40, 97, 40, 69, P0
54.35, 99, 43, 69, P0
81.42, 95, 44, 69, P0
58.61, 98, 40, 69, P0
48.33, 99, 44, 68, P0
73.17, 98, 41, 69, P0
67.59, 99, 37, 69, P0
82.65, 99, 43, 68, P0
66.48, 94, 47, 69, P0
82.80, 98, 32, 69, P0
46.78, 94, 32, 69, P0
66.54, 87, 38, 69, P0
70.19, 97, 39, 69, P0
47.36, 95, 41, 69, P0
67.98, 99, 40, 68, P0
60.89, 99, 42, 69, P0
63.10, 96, 46, 69, P0
84.18, 98, 37, 69, P0
76.00, 96, 35, 69, P0
77.10, 88, 36, 69, P0
85.75, 98, 43, 69, P0
69.04, 94, 44, 69, P0
97.45, 99, 36, 69, P0
54.83, 91, 41, 69, P0
49.65, 97, 45, 69, P0
58.52, 98, 35, 69, P0
56.62, 98, 42, 69, P0
55.08, 99, 39, 69, P0
57.17, 97, 43, 69, P0
67.25, 97, 38, 69, P0
84.66, 98, 44, 69, P0
73.46, 97, 40, 69, P0
80.31, 100, 41, 69, P0
73.84, 99, 43, 69, P0
76.53, 97, 40, 69, P0
76.62, 99, 43, 69, P0
70.96, 95, 44, 69, P0
52.74, 98, 39, 68, P0
51.19, 99, 44, 69, P0
76.53, 99, 43, 69, P0
58.03, 99, 40, 69, P0
74.75, 98, 43, 69, P0
71.44, 95, 47, 69, P0
73.45, 98, 32, 69, P0
48.69, 95, 32, 69, P0
63.45, 87, 38, 69, P0
66.14, 97, 37, 69, P0
64.79, 95, 42, 69, P0
50.71, 99, 41, 69, P0
50.04, 92, 41, 69, P0
74.13, 98, 43, 69, P0
52.42, 99, 40, 68, P0
77.20, 98, 43, 69, P0
72.64, 99, 40, 69, P0
90.00, 98, 43, 69, P0
64.12, 94, 43, 69, P0
80.29, 99, 37, 69, P0
56.14, 92, 42, 69, P0
68.84, 98, 44, 69, P0
78.45, 98, 36, 69, P0
66.92, 98, 43, 69, P0
69.61, 99, 40, 68, P0
64.68, 97, 42, 69, P0
78.63, 97, 40, 69, P0
68.36, 98, 42, 69, P0
76.86, 97, 40, 69, P0
68.12, 96, 38, 69, P0
44.13, 99, 46, 69, P0
66.11, 94, 50, 69, P0
67.69, 99, 33, 69, P0
87.05, 93, 36, 69, P0
73.65, 86, 39, 69, P0
77.44, 97, 32, 69, P0
80.26, 97, 40, 69, P0
69.90, 99, 41, 69, P0
59.00, 99, 43, 69, P0
64.12, 94, 48, 69, P0
64.54, 99, 28, 69, P0
87.47, 94, 34, 69, P0
