power.draw [W], utilization.gpu [%], utilization.memory [%], temperature.gpu, pstate
40.09, 98, 46, 69, P0
51.10, 100, 43, 70, P0
78.68, 98, 44, 70, P0
64.27, 99, 39, 69, P0
80.69, 98, 43, 70, P0
70.34, 96, 46, 69, P0
74.03, 98, 34, 69, P0
47.85, 95, 31, 69, P0
66.25, 88, 37, 70, P0
70.48, 97, 39, 70, P0
70.33, 95, 42, 70, P0
72.06, 99, 41, 69, P0
65.18, 99, 43, 69, P0
76.48, 94, 46, 70, P0
64.31, 98, 33, 69, P0
75.42, 95, 31, 69, P0
71.49, 88, 38, 69, P0
51.26, 97, 39, 70, P0
70.24, 95, 42, 70, P0
73.36, 100, 39, 70, P0
52.90, 92, 39, 69, P0
43.69, 98, 42, 70, P0
83.52, 100, 40, 69, P0
51.77, 98, 43, 69, P0
64.22, 99, 38, 70, P0
65.33, 98, 43, 70, P0
63.25, 96, 45, 70, P0
63.45, 98, 37, 69, P0
76.91, 96, 35, 70, P0
79.11, 88, 37, 70, P0
76.57, 98, 43, 70, P0
68.94, 95, 43, 70, P0
52.87, 99, 39, 70, P0
51.87, 91, 39, 70, P0
77.82, 98, 42, 70, P0
54.31, 99, 39, 69, P0
70.91, 96, 32, 70, P0
76.77, 88, 36, 70, P0
69.46, 98, 42, 70, P0
69.60, 94, 43, 70, P0
66.00, 99, 39, 70, P0
84.77, 92, 41, 69, P0
53.44, 98, 42, 70, P0
68.36, 99, 38, 70, P0
72.40, 98, 43, 70, P0
82.22, 99, 38, 70, P0
55.15, 97, 40, 70, P0
70.82, 97, 43, 70, P0
72.06, 99, 42, 70, P0
69.13, 96, 34, 70, P0
85.38, 88, 37, 70, P0
73.94, 99, 46, 69, P0
73.02, 94, 46, 70, P0
63.00, 100, 34, 70, P0
45.36, 92, 35, 69, P0
55.31, 97, 44, 69, P0
65.43, 98, 42, 69, P0
44.10, 97, 40, 70, P0
60.60, 91, 37, 70, P0
77.05, 99, 48, 69, P0
67.06, 93, 47, 70, P0
85.71, 99, 34, 70, P0
48.42, 92, 35, 70, P0
68.17, 91, 42, 70, P0
63.10, 98, 35, 70, P0
73.79, 98, 41, 70, P0
60.69, 99, 39, 70, P0
71.05, 97, 43, 69, P0
71.92, 97, 39, 70, P0
66.63, 99, 43, 69, P0
76.43, 97, 41, 70, P0
69.76, 98, 38, 70, P0
48.62, 99, 46, 70, P0
66.82, 94, 46, 70, P0
61.91, 99, 35, 69, P0
45.82, 92, 34, 69, P0
48.62, 97, 39, 69, P0
60.98, 99, 43, 69, P0
42.78, 97, 41, 70, P0
73.46, 99, 39, 70, P0
69.04, 99, 44, 70, P0
66.77, 94, 49, 70, P0
57.94, 99, 34, 70, P0
53.73, 92, 35, 70, P0
58.19, 87, 41, 69, P0
73.31, 98, 34, 70, P0
66.33, 98, 41, 70, P0
65.04, 99, 40, 69, P0
60.92, 97, 44, 70, P0
78.92, 97, 38, 70, P0
80.26, 99, 44, 69, P0
67.02, 97, 39, 70, P0
65.14, 100, 38, 70, P0
43.74, 98, 44, 70, P0
71.30, 94, 48, 70, P0
75.23, 99, 35, 70, P0
56.27, 92, 35, 70, P0
69.80, 97, 38, 69, P0
53.19, 99, 43, 70, P0
42.94, 97, 40, 70, P0
69.18, 99, 38, 70, P0
72.45, 99, 44, 70, P0
